Date,Number of dates,length
1874-01-01,20,14943
1874-01-02,36,16920
1874-01-03,50,16713
1874-01-05,30,14687
1874-01-06,25,18256
1874-01-07,45,19689
1874-01-08,25,14923
1874-01-09,42,17846
1874-01-10,48,15843
1874-01-11,29,17023
1874-01-12,29,15923
1874-01-13,28,15638
1874-01-14,25,15923
1874-01-15,38,19278
1874-01-16,32,16538
1874-01-17,42,17140
1874-01-18,24,17667
1874-01-19,24,15611
1874-01-20,27,16599
1874-01-21,39,17750
1874-01-22,29,16487
1874-01-23,49,19317
1874-01-24,27,15053
1874-01-25,21,18009
1874-01-26,30,17233
1874-01-27,10,16478
1874-01-28,38,15888
1874-01-29,33,16582
1874-01-30,30,16880
1874-01-31,41,16444
1874-02-01,24,17320
1874-02-02,20,15481
1874-02-03,33,14146
1874-02-04,30,16546
1874-02-05,35,17049
1874-02-06,38,17419
1874-02-07,29,17680
1874-02-08,24,17539
1874-02-09,34,18704
1874-02-10,26,16911
1874-02-11,69,16837
1874-02-12,18,16066
1874-02-13,18,14826
1874-02-14,48,17455
1874-02-15,45,15654
1874-02-16,41,17426
1874-02-17,23,16860
1874-02-18,38,17232
1874-02-19,17,17401
1874-02-20,49,16973
1874-02-21,40,16480
1874-02-22,48,17654
1874-02-23,54,17513
1874-02-24,18,16808
1874-02-25,51,17095
1874-02-26,31,18153
1874-02-27,33,16919
1874-02-28,41,18048
1874-03-01,38,15180
1874-03-02,50,17600
1874-03-03,41,16325
1874-03-04,25,16950
1874-03-05,31,15890
1874-03-06,33,18531
1874-03-07,39,18215
1874-03-08,35,18249
1874-03-09,28,16212
1874-03-10,42,16498
1874-03-11,30,17529
1874-03-12,35,16252
1874-03-13,38,17453
1874-03-14,39,16480
1874-03-15,40,16253
1874-03-16,24,13578
1874-03-17,63,13453
1874-03-18,18,14776
1874-03-19,54,16758
1874-03-20,39,17675
1874-03-21,69,18213
1874-03-22,30,15847
1874-03-23,44,16534
1874-03-24,23,15406
1874-03-25,25,17022
1874-03-26,30,17907
1874-03-27,27,17660
1874-03-28,32,17279
1874-03-29,22,17873
1874-03-30,29,15795
1874-03-31,9,15786
1874-04-01,45,17112
1874-04-02,44,16764
1874-04-03,17,16208
1874-04-04,29,16574
1874-04-05,16,11459
1874-04-06,20,15161
1874-04-07,24,12450
1874-04-09,33,17187
1874-04-10,35,17369
1874-04-11,28,17929
1874-04-12,22,17546
1874-04-13,26,15998
1874-04-14,19,18317
1874-04-15,47,18930
1874-04-16,40,17697
1874-04-17,28,17450
1874-04-18,31,17952
1874-04-19,19,17830
1874-04-20,19,18250
1874-04-21,20,15447
1874-04-22,44,16177
1874-04-23,16,18817
1874-04-24,42,17959
1874-04-25,31,18414
1874-04-26,25,17295
1874-04-27,43,17004
1874-04-28,27,17478
1874-04-29,41,18352
1874-04-30,17,15950
1874-05-01,34,18640
1874-05-02,19,17851
1874-05-03,33,17079
1874-05-04,44,16773
1874-05-05,31,16568
1874-05-06,40,16823
1874-05-07,32,18019
1874-05-08,20,17580
1874-05-09,52,17721
1874-05-10,22,14931
1874-05-11,44,17664
1874-05-12,20,17973
1874-05-13,25,17801
1874-05-15,39,17347
1874-05-16,22,18241
1874-05-17,29,17241
1874-05-18,53,16673
1874-05-19,32,17708
1874-05-20,40,17970
1874-05-21,30,18608
1874-05-22,36,16814
1874-05-23,25,16938
1874-05-24,35,16562
1874-05-25,37,17926
1874-05-26,28,17922
1874-05-27,22,16902
1874-05-28,38,17854
1874-05-29,34,18938
1874-05-30,20,16004
1874-05-31,19,18189
1874-06-01,33,18861
1874-06-02,27,17434
1874-06-04,27,18090
1874-06-05,32,20459
1874-06-06,16,18021
1874-06-07,25,19147
1874-06-08,27,16190
1874-06-09,21,21838
1874-06-10,23,18884
1874-06-11,37,18881
1874-06-12,29,17068
1874-06-13,24,18361
1874-06-14,43,14397
1874-06-15,35,17389
1874-06-16,43,17155
1874-06-17,36,18807
1874-06-18,38,19584
1874-06-19,38,15674
1874-06-20,26,18534
1874-06-21,31,17884
1874-06-22,25,18872
1874-06-23,30,21873
1874-06-24,50,20301
1874-06-25,45,17636
1874-06-26,26,18328
1874-06-27,34,19662
1874-06-28,54,18541
1874-06-29,30,18260
1874-06-30,33,15077
1874-07-01,35,18054
1874-07-02,32,16133
1874-07-03,38,18075
1874-07-04,47,17599
1874-07-05,43,17194
1874-07-06,83,20966
1874-07-07,38,16868
1874-07-08,32,17336
1874-07-09,34,18059
1874-07-10,15,18766
1874-07-11,28,16229
1874-07-12,37,17748
1874-07-13,39,19480
1874-07-28,18,15645
1874-07-29,28,17521
1874-07-30,46,16442
1874-07-31,21,17698
1874-08-01,26,18290
1874-08-02,23,17948
1874-08-03,46,16922
1874-08-04,37,17964
1874-08-05,30,16815
1874-08-06,41,17797
1874-08-07,41,17702
1874-08-08,34,17672
1874-08-09,46,17976
1874-08-10,29,17056
1874-08-11,48,19794
1874-08-12,36,18842
1874-08-13,46,17887
1874-08-14,77,19384
1874-08-15,38,18341
1874-08-16,31,18499
1874-08-17,25,18241
1874-08-18,30,17635
1874-08-19,38,17820
1874-08-20,41,16954
1874-08-21,44,17772
1874-08-22,30,18259
1874-08-23,70,18393
1874-08-24,53,17708
1874-08-25,26,18059
1874-08-26,40,17434
1874-08-27,42,17582
1874-08-28,25,17695
1874-08-29,18,16681
1874-08-30,19,19321
1874-08-31,40,18848
1874-09-01,19,18196
1874-09-02,43,17856
1874-09-03,24,17449
1874-09-04,40,18848
1874-09-05,33,17938
1874-09-06,39,17541
1874-09-07,72,18978
1874-09-08,24,18095
1874-09-09,23,17809
1874-09-10,33,17368
1874-09-11,38,18528
1874-09-12,40,17303
1874-09-13,34,18364
1874-09-14,41,18545
1874-09-15,55,17730
1874-09-16,30,16960
1874-09-17,49,17458
1874-09-18,57,17353
1874-09-19,26,18718
1874-09-20,29,15752
1874-09-21,26,16707
1874-09-22,19,16644
1874-09-23,15,12581
1874-09-24,26,16501
1874-09-25,27,17648
1874-09-26,34,16885
1874-09-27,23,16125
1874-09-28,19,15862
1874-09-29,36,18265
1874-09-30,28,18059
1874-10-01,33,18367
1874-10-02,34,15843
1874-10-03,43,18752
1874-10-04,19,16532
1874-10-05,41,15821
1874-10-06,30,14993
1874-10-07,44,15425
1874-10-08,27,15670
1874-10-09,17,17753
1874-10-10,33,15364
1874-10-11,42,12559
1874-10-12,39,13285
1874-10-13,29,15146
1874-10-14,51,13786
1874-10-15,26,17363
1874-10-16,49,18312
1874-10-17,52,17132
1874-10-18,38,16924
1874-10-19,31,15814
1874-10-20,27,18218
1874-10-21,49,17489
1874-10-22,39,15369
1874-10-23,43,17850
1874-10-24,29,16974
1874-10-25,41,15242
1874-10-26,16,15803
1874-10-27,21,15377
1874-10-28,33,15648
1874-10-29,37,17485
1874-10-30,31,17000
1874-10-31,32,17760
1874-11-01,32,12770
1874-11-02,39,17801
1874-11-03,49,22201
1874-11-04,35,13507
1874-11-05,20,14871
1874-11-06,55,15924
1874-11-07,50,18924
1874-11-08,71,18099
1874-11-09,39,16166
1874-11-10,29,15740
1874-11-11,44,18562
1874-11-12,31,17656
1874-11-13,27,15800
1874-11-14,29,17789
1874-11-15,48,15704
1874-11-16,31,17023
1874-11-17,59,14708
1874-11-18,39,16345
1874-11-19,36,17241
1874-11-20,30,16900
1874-11-21,47,16879
1874-11-22,27,18430
1874-11-23,28,16273
1874-11-24,31,19605
1874-11-25,27,18639
1874-11-26,38,18229
1874-11-27,24,17273
1874-11-28,26,15556
1874-11-29,48,17411
1874-11-30,42,16194
1874-12-01,31,15561
1874-12-02,48,17646
1874-12-03,49,16629
1874-12-04,32,17668
1874-12-05,34,16743
1874-12-06,28,15651
1874-12-07,55,14329
1874-12-08,33,16188
1874-12-09,31,17179
1874-12-10,22,16732
1874-12-11,47,15448
1874-12-12,37,17222
1874-12-13,45,16918
1874-12-14,26,14271
1874-12-15,21,16202
1874-12-16,41,16265
1874-12-17,65,17343
1874-12-18,22,16264
1874-12-19,54,17165
1874-12-20,46,15964
1874-12-21,49,15126
1874-12-22,47,16799
1874-12-23,21,16519
1874-12-24,49,15204
1874-12-25,24,18109
1874-12-26,26,24315
1874-12-27,28,16251
1874-12-28,39,17146
1874-12-29,22,15856
