Date,Number of dates,length
1892-01-05,49,20411
1892-01-06,73,37854
1892-01-07,41,20155
1892-01-08,67,20682
1892-01-09,69,19932
1892-01-10,48,18625
1892-01-11,13,19657
1892-03-22,33,20134
1892-03-23,56,36262
1892-03-24,27,20028
1892-03-25,36,19285
1892-03-26,26,19021
1892-03-27,47,16366
1892-03-28,52,18995
1892-03-29,56,19500
1892-03-30,52,34991
1892-03-31,57,18309
1892-05-23,35,19940
1892-07-21,54,19039
1892-07-22,42,19491
1892-07-23,41,20967
1892-07-24,56,19398
1892-07-25,42,20183
1892-07-28,41,19765
1892-07-29,34,19566
1892-08-14,38,20034
1892-08-15,45,20100
1892-08-16,47,20573
1892-08-17,30,36864
1892-08-18,31,19705
1892-08-19,21,19691
1892-08-20,59,20627
1892-08-21,45,20480
1892-08-22,25,19980
1892-08-23,41,19907
1892-08-24,53,37883
1892-08-28,68,18726
1892-08-29,63,21015
1892-08-30,38,21291
1892-08-31,30,37533
1892-09-01,59,19272
1892-09-16,52,19600
1892-09-17,37,20414
1892-09-18,33,15416
1892-09-19,48,21000
1892-09-20,22,20899
1892-09-21,41,36056
1892-09-22,6,2539
1892-09-23,45,20161
1892-09-24,48,21139
1892-09-25,19,17583
1892-09-26,42,21185
1892-10-11,46,19230
1892-10-12,28,32513
1892-10-13,39,19701
1892-10-14,47,20371
1892-10-16,54,19163
1892-10-17,62,19889
1892-10-18,45,19806
1892-10-19,40,36158
1892-10-20,45,19096
1892-10-21,44,19923
1892-10-22,32,20906
1892-10-23,47,15339
1892-10-24,51,19881
1892-10-25,37,19603
1892-11-11,53,18625
1892-11-12,31,20063
1892-11-14,55,18915
1892-11-15,47,19589
1892-11-16,55,37975
1892-11-17,37,18707
1892-11-18,27,19168
1892-11-19,20,19102
1892-11-20,47,19767
1892-11-21,56,20324
1892-11-22,51,19533
1892-11-23,38,37487
1892-11-24,34,19038
1892-12-06,49,19622
1892-12-07,38,36237
1892-12-08,47,18384
1892-12-09,21,19660
1892-12-10,21,19833
1892-12-11,34,19034
1892-12-12,38,18751
1892-12-13,50,19456
1892-12-18,35,18644
1892-12-19,36,18121
1892-12-20,46,19174
1892-12-21,40,37964
1892-12-22,44,17663
1892-12-23,32,19036
1892-12-24,45,18739
1892-12-25,62,19480
1892-12-26,53,18772
1892-12-27,51,19499
