Date,Number of dates,length
1917-01-01,40,17286
1917-01-02,41,17634
1917-01-03,33,24485
1917-01-04,69,17939
1917-01-05,52,18336
1917-01-06,57,16780
1917-01-07,59,16962
1917-01-08,38,17282
1917-01-09,58,17739
1917-01-10,37,22968
1917-01-11,61,18197
1917-01-12,63,17263
1917-01-13,55,17879
1917-01-14,87,17750
1917-01-15,33,17286
1917-01-16,57,18110
1917-01-17,51,24038
1917-01-18,62,17460
1917-01-19,45,17636
1917-01-20,71,17806
1917-01-21,65,16334
1917-01-22,27,17759
1917-01-23,41,18891
1917-01-24,40,24537
1917-01-25,73,17461
1917-01-26,43,17952
1917-01-27,37,17145
1917-01-28,48,18487
1917-01-29,37,17981
1917-01-30,34,16886
1917-01-31,41,23005
1917-02-01,56,17422
1917-02-02,34,17149
1917-02-03,63,16486
1917-02-04,108,17994
1917-02-05,28,18071
1917-02-06,52,17993
1917-02-07,31,25135
1917-02-08,69,17452
1917-02-09,40,18149
1917-02-10,66,17254
1917-02-11,80,18419
1917-02-12,55,17472
1917-02-13,49,20019
1917-02-14,37,23576
1917-02-15,59,17877
1917-02-16,43,18609
1917-02-17,78,17683
1917-02-18,71,17914
1917-02-19,54,9423
1917-02-20,68,17625
1917-02-21,66,16993
1917-02-22,60,18014
1917-02-23,60,18367
1917-02-24,46,18395
1917-02-25,66,19797
1917-02-26,57,9599
1917-02-27,54,16794
1917-02-28,33,15728
1917-03-01,63,18167
1917-03-02,37,17937
1917-03-03,44,16749
1917-03-04,47,16374
1917-03-05,37,9130
1917-03-06,39,17119
1917-03-07,35,16915
1917-03-08,67,18456
1917-03-09,49,17872
1917-03-10,61,18421
1917-03-11,57,17182
1917-03-12,63,9247
1917-03-13,42,17174
1917-03-14,25,14834
1917-03-15,81,18673
1917-03-16,40,19071
1917-03-17,48,18450
1917-03-18,88,17164
1917-03-19,45,8615
1917-03-20,52,16677
1917-03-21,31,17322
1917-03-22,39,17759
1917-03-23,40,17825
1917-03-24,45,16598
1917-03-25,45,17413
1917-03-26,58,9195
1917-03-27,54,17264
1917-03-28,79,16835
1917-03-29,62,17336
1917-03-30,39,18293
1917-03-31,66,18498
1917-04-01,126,18680
1917-04-02,48,9042
1917-04-03,43,16270
1917-04-04,35,16906
1917-04-05,66,17294
1917-04-06,47,17652
1917-04-07,61,16862
1917-04-08,45,18460
1917-04-09,58,9478
1917-04-10,37,17089
1917-04-11,55,16886
1917-04-12,51,17595
1917-04-13,35,18093
1917-04-14,62,17512
1917-04-15,90,17078
1917-04-16,47,9250
1917-04-17,59,15896
1917-04-18,68,16260
1917-04-19,67,17137
1917-04-20,86,17763
1917-04-21,52,17822
1917-04-22,97,16783
1917-04-23,58,9140
1917-04-24,68,16121
1917-04-25,45,16174
1917-04-26,95,16726
1917-04-27,37,16898
1917-04-28,66,16584
1917-04-29,80,17961
1917-04-30,52,9455
1917-05-01,77,17040
1917-05-02,72,16587
1917-05-03,59,17406
1917-05-04,76,18345
1917-05-05,81,16808
1917-05-06,71,16956
1917-05-07,56,9395
1917-05-08,34,17947
1917-05-09,34,16009
1917-05-10,38,17388
1917-05-11,49,18103
1917-05-12,53,17333
1917-05-13,96,17997
1917-05-14,60,9170
1917-05-15,64,17403
1917-05-16,42,16147
1917-05-17,48,18049
1917-05-18,68,18348
1917-05-19,48,18028
1917-05-20,46,18839
1917-05-21,74,9399
1917-05-22,54,17064
1917-05-23,55,16296
1917-05-24,69,17844
1917-05-25,50,17930
1917-05-26,66,17282
1917-05-27,81,17775
1917-05-28,69,8899
1917-05-29,46,16565
1917-05-30,49,15755
1917-05-31,49,16145
1917-06-01,55,17427
1917-06-02,55,17563
1917-06-03,66,18567
1917-06-04,78,9048
1917-06-05,49,17522
1917-06-06,68,16046
1917-06-07,64,17713
1917-06-08,51,16931
1917-06-09,44,16437
1917-06-10,65,17083
1917-06-11,52,9544
1917-06-12,58,17730
1917-06-13,57,15957
1917-06-14,37,17113
1917-06-15,68,17272
1917-06-16,62,16136
1917-06-17,69,17318
1917-06-18,36,9302
1917-06-19,50,16565
1917-06-20,45,17276
1917-06-21,94,17338
1917-06-22,38,17784
1917-06-23,59,17550
1917-06-24,52,18135
1917-06-25,65,9516
1917-06-26,48,16576
1917-06-27,39,16440
1917-06-28,46,16741
1917-06-29,42,19473
1917-06-30,86,18304
1917-07-01,99,17897
1917-07-02,54,9517
1917-07-03,43,16933
1917-07-04,42,15895
1917-07-05,38,18121
1917-07-06,41,17121
1917-07-07,108,17691
1917-07-08,66,17674
1917-07-09,54,9634
1917-07-10,48,16747
1917-07-11,46,15520
1917-07-12,80,18321
1917-07-13,72,16270
1917-07-14,64,16994
1917-07-15,64,17316
1917-07-16,62,9131
1917-07-17,38,17048
1917-07-18,35,15438
1917-07-19,74,17134
1917-07-20,56,18011
1917-07-21,52,17994
1917-07-22,71,17470
1917-07-23,35,10106
1917-07-24,65,17673
1917-07-25,61,16587
1917-07-26,57,17172
1917-07-27,66,17050
1917-07-28,39,17856
1917-07-29,61,18176
1917-07-30,64,9523
1917-07-31,40,17530
1917-08-01,53,17000
1917-08-02,58,17291
1917-08-03,37,19156
1917-08-04,30,17325
1917-08-05,51,18941
1917-08-06,49,9569
1917-08-07,27,17126
1917-08-08,42,16526
1917-08-09,43,18022
1917-08-10,52,17557
1917-08-11,59,17885
1917-08-12,77,19044
1917-08-13,57,9261
1917-08-14,36,16761
1917-08-15,39,17052
1917-08-16,43,18718
1917-08-17,63,18336
1917-08-18,67,18431
1917-08-19,62,18682
1917-08-20,49,9801
1917-08-21,48,16439
1917-08-22,44,17180
1917-08-23,65,18629
1917-08-24,71,17791
1917-08-25,48,18099
1917-08-26,70,18670
1917-08-27,47,9532
1917-08-28,74,17272
1917-08-29,50,17307
1917-08-30,40,18326
1917-08-31,61,18468
1917-09-01,34,18290
1917-09-02,63,18438
1917-09-03,41,9693
1917-09-04,57,18004
1917-09-05,61,18553
1917-09-06,76,9569
1917-09-07,52,17487
1917-09-08,26,18558
1917-09-09,51,17359
1917-09-10,56,9499
1917-09-11,32,18096
1917-09-12,18,16209
1917-09-13,63,9235
