Date,Number of dates,length
1880-01-01,19,14665
1880-01-02,55,18866
1880-01-03,54,16759
1880-01-04,32,18087
1880-01-05,31,16336
1880-01-06,50,19920
1880-01-07,26,38683
1880-01-08,24,20432
1880-01-09,40,18398
1880-01-10,23,18783
1880-01-11,27,15297
1880-01-12,25,17590
1880-01-13,23,17509
1880-01-14,37,34965
1880-01-15,68,18706
1880-01-16,40,19065
1880-01-17,32,19507
1880-01-18,43,17478
1880-01-19,49,17781
1880-01-20,39,20281
1880-01-21,53,36716
1880-01-22,22,19162
1880-01-23,63,19022
1880-01-24,28,18365
1880-01-25,35,16053
1880-01-26,14,16601
1880-01-27,39,18695
1880-01-28,23,36754
1880-01-29,51,19894
1880-01-30,24,17818
1880-01-31,69,15218
1880-02-01,43,17676
1880-02-02,39,17295
1880-02-03,58,18933
1880-02-04,33,36126
1880-02-05,29,19257
1880-02-06,33,19138
1880-02-07,26,19010
1880-02-08,31,19117
1880-02-09,55,17880
1880-02-10,66,19382
1880-02-11,47,38783
1880-02-12,31,19036
1880-02-13,19,20145
1880-02-14,47,16881
1880-02-15,25,15633
1880-02-16,41,17889
1880-02-17,58,20675
1880-02-18,65,35726
1880-02-19,49,19885
1880-02-20,49,19262
1880-02-21,32,18481
1880-02-22,28,20372
1880-02-23,49,18652
1880-02-24,29,19743
1880-02-25,43,35764
1880-02-26,41,20211
1880-02-27,54,18799
1880-02-28,35,18039
1880-02-29,61,16918
1880-03-01,28,16613
1880-03-02,21,20133
1880-03-03,64,35706
1880-03-04,46,19390
1880-03-05,50,18088
1880-03-06,43,17470
1880-03-07,51,15975
1880-03-08,71,18537
1880-03-09,44,20899
1880-03-10,29,35712
1880-03-11,26,19254
1880-03-12,58,19239
1880-03-13,44,16541
1880-03-14,37,16159
1880-03-15,35,16299
1880-03-16,24,18085
1880-03-17,36,34572
1880-03-18,38,19007
1880-03-19,41,17874
1880-03-20,53,18973
1880-03-21,18,17703
1880-03-22,31,16774
1880-03-23,42,18485
1880-03-24,45,38045
1880-03-25,46,18411
1880-03-26,22,17554
1880-03-27,21,16991
1880-03-28,34,18185
1880-03-29,27,16718
1880-03-30,33,17178
1880-03-31,44,38445
1880-04-01,60,19259
1880-04-02,38,18624
1880-04-03,29,16071
1880-04-04,40,17779
1880-04-05,27,17915
1880-04-06,29,19005
1880-04-07,62,36666
1880-04-08,74,17154
1880-04-09,62,18280
1880-04-10,65,19389
1880-04-11,29,18885
1880-04-12,64,18563
1880-04-13,23,18795
1880-04-14,42,41533
1880-04-15,43,18797
1880-04-16,50,18464
1880-04-17,51,19903
