Date,Number of dates,length
1890-01-01,40,35467
1890-01-02,46,18621
1890-01-04,34,19897
1890-01-05,36,18092
1890-01-06,60,19808
1890-01-07,49,18970
1890-01-09,39,19517
1890-01-10,32,20011
1890-01-11,50,19969
1890-01-12,59,19263
1890-01-13,41,18275
1890-01-14,30,19286
1890-01-15,59,35822
1890-01-16,52,17722
1890-01-17,37,19672
1890-01-18,81,19522
1890-01-19,26,18840
1890-01-20,35,18467
1890-01-21,47,20624
1890-01-22,46,39301
1890-01-23,43,17568
1890-01-24,36,19006
1890-01-25,33,20218
1890-01-26,30,18140
1890-01-27,50,18787
1890-01-28,57,20031
1890-01-29,38,38103
1890-01-30,36,16966
1890-01-31,32,19270
1890-02-01,20,17863
1890-02-02,56,17835
1890-02-03,37,18446
1890-02-04,19,20305
1890-02-05,61,39960
1890-02-06,45,16588
1890-02-07,25,19501
1890-02-08,43,17235
1890-02-09,44,18018
1890-02-10,26,18377
1890-02-11,55,20226
1890-02-12,49,39695
1890-02-13,33,18822
1890-02-14,48,19282
1890-02-15,36,20186
1890-02-16,44,19195
1890-02-17,40,19421
1890-02-18,69,19462
1890-02-19,33,38017
1890-02-20,41,16586
1890-02-21,84,18630
1890-02-22,64,19064
1890-02-23,47,17687
1890-02-24,32,18900
1890-02-25,33,20397
1890-02-26,48,39681
1890-02-27,48,18672
1890-02-28,37,19344
1890-03-01,31,16821
1890-03-02,55,16704
1890-03-03,39,17489
1890-03-04,58,21101
1890-03-05,37,38684
1890-03-06,63,19516
1890-03-07,41,20635
1890-03-08,48,19429
1890-03-10,32,18231
1890-03-11,56,19226
1890-03-12,42,38468
1890-03-13,42,20304
1890-03-14,42,18726
1890-03-15,41,19407
1890-03-16,50,17536
1890-03-17,33,18031
1890-03-18,54,18649
1890-03-19,35,38478
1890-03-20,21,17545
1890-03-21,53,16430
1890-03-22,50,17830
1890-03-23,51,18940
1890-03-24,48,17883
1890-03-25,49,19080
1890-03-26,55,38267
1890-03-27,68,19004
1890-03-28,33,18873
1890-03-29,49,19965
1890-03-30,39,17204
1890-03-31,45,19450
1890-04-01,45,18723
1890-04-02,45,37312
1890-04-03,32,19975
1890-04-04,58,19841
1890-04-05,53,19697
1890-04-06,58,19087
1890-04-07,37,20295
1890-04-08,54,20199
1890-04-09,54,38276
1890-04-10,43,18809
1890-04-11,46,18912
1890-04-12,42,19964
1890-04-13,59,17913
1890-04-14,41,19841
1890-04-15,33,19613
1890-04-16,45,38518
1890-04-17,55,18895
1890-04-18,55,19669
1890-04-19,55,20340
1890-04-20,83,18682
1890-04-21,28,18761
1890-04-22,27,18545
1890-04-23,41,36980
1890-04-24,56,19245
1890-04-25,31,19492
1890-04-26,71,19100
1890-04-27,52,17488
1890-04-28,33,17714
1890-04-29,42,19305
1890-04-30,49,38035
1890-05-01,42,18313
1890-05-02,50,19772
1890-05-03,44,19320
1890-05-04,49,15736
1890-05-05,39,17597
1890-05-06,45,18911
1890-05-07,39,35704
1890-05-08,46,19011
1890-05-09,42,20671
1890-05-10,43,18768
1890-05-11,71,19725
1890-05-12,65,18227
1890-05-13,57,18923
1890-05-14,53,36884
1890-05-15,33,19515
1890-05-16,30,18477
1890-05-17,34,19530
1890-05-18,20,17830
1890-05-19,41,16817
1890-05-20,39,19599
1890-05-21,44,37933
1890-05-22,35,19942
1890-05-23,29,19348
1890-05-24,32,19904
1890-05-25,72,20220
1890-05-26,49,19064
1890-05-27,41,19346
1890-05-28,40,38963
1890-05-29,42,18891
1890-05-30,36,18865
1890-05-31,27,19337
1890-06-01,34,17771
1890-06-02,44,20174
1890-06-03,32,20435
1890-06-04,29,38239
1890-06-05,32,18037
1890-06-06,27,17631
1890-06-07,37,18785
1890-06-08,69,18234
1890-06-09,39,18894
1890-06-10,45,20307
1890-06-11,60,39442
1890-06-12,37,18708
1890-06-13,37,19518
1890-06-14,76,20848
1890-06-15,48,18118
1890-06-16,52,19384
1890-06-17,32,21175
1890-06-18,62,38995
1890-06-19,44,19265
1890-06-20,35,19686
1890-06-21,41,19990
1890-06-22,48,18646
1890-06-23,25,20592
1890-06-24,41,20409
1890-06-25,48,39398
1890-06-26,40,19418
1890-06-27,51,18864
1890-06-28,77,18647
1890-06-29,36,18168
1890-06-30,40,20247
1890-07-01,47,19842
1890-07-02,70,39252
1890-07-03,37,18868
1890-07-04,53,19702
1890-07-05,22,20335
1890-07-06,44,19696
1890-07-07,44,17694
1890-07-08,24,19892
1890-07-09,34,39534
1890-07-10,36,19006
1890-07-11,37,19916
1890-07-12,27,20205
1890-07-13,59,19321
1890-07-14,72,20963
1890-07-15,26,19887
1890-07-16,41,40126
1890-07-17,22,18734
1890-07-18,58,19522
1890-07-19,45,20607
1890-07-20,28,19296
1890-07-21,35,19762
1890-07-22,29,20490
1890-07-23,34,39512
1890-07-24,46,18554
1890-07-25,40,19138
1890-07-26,30,18886
1890-07-27,38,18568
1890-07-28,26,19171
1890-07-29,47,20626
1890-07-30,43,38566
1890-07-31,37,18522
1890-08-01,49,19769
1890-08-02,36,20626
1890-08-03,49,19524
