Date,Number of dates,length
1889-01-17,46,18014
1889-01-25,35,20337
1889-06-07,50,18716
1889-06-09,36,19140
1889-07-08,32,20470
1889-07-09,56,20152
1889-07-10,34,39785
1889-07-11,47,19513
1889-07-12,55,19234
1889-07-13,96,19592
1889-07-14,64,20147
1889-07-15,48,21014
1889-07-16,41,19258
1889-07-17,64,37541
1889-07-18,53,19090
1889-07-19,35,19622
1889-07-20,20,21030
1889-07-21,23,16964
1889-08-04,44,19845
1889-08-05,45,19813
1889-08-06,55,19874
1889-08-07,62,40939
1889-08-08,45,18729
1889-08-09,67,19867
1889-08-10,36,20174
1889-08-11,55,18923
1889-08-12,39,20660
1889-08-13,42,20986
1889-08-26,14,19608
1889-08-27,18,18537
1889-08-28,35,40434
1889-08-29,52,18109
1889-08-30,82,19715
1889-08-31,34,16339
1889-09-06,53,19626
1889-09-07,39,20218
1889-09-08,41,18110
1889-09-09,47,21553
1889-09-10,30,20695
1889-09-11,37,38130
1889-09-12,36,20317
1889-09-13,25,18792
1889-09-14,38,19061
1889-09-15,42,17810
1889-09-29,32,16038
1889-09-30,32,19703
1889-10-01,29,20520
1889-10-13,41,18044
1889-10-14,45,16808
1889-10-15,51,14764
1889-10-16,39,36944
1889-10-17,39,19344
1889-10-18,54,19466
1889-10-19,57,15792
1889-10-20,20,16806
1889-11-26,43,15306
1889-11-27,33,28147
1889-11-28,24,16143
1889-11-29,45,19196
1889-11-30,44,18297
1889-12-01,36,16961
1889-12-02,38,16486
1889-12-03,54,19262
1889-12-04,32,38959
1889-12-05,41,18629
1889-12-06,41,18340
1889-12-07,38,17598
1889-12-08,38,18059
1889-12-09,76,19648
1889-12-10,29,20586
1889-12-11,37,37001
1889-12-12,43,15346
1889-12-13,34,15443
1889-12-14,69,16173
1889-12-15,22,14143
1889-12-16,36,13516
1889-12-17,48,18115
1889-12-18,46,38783
1889-12-19,55,17803
1889-12-20,53,17188
1889-12-21,23,10653
1889-12-22,40,12450
1889-12-24,42,18805
1889-12-25,17,23116
1889-12-26,37,13041
1889-12-27,25,15140
1889-12-28,35,16136
1889-12-29,44,13134
1889-12-30,23,11977
1889-12-31,40,13404
