Date,Number of dates,length
1879-01-01,25,37504
1879-01-02,85,18820
1879-01-03,43,20300
1879-01-04,28,19801
1879-01-05,89,19718
1879-01-06,45,18527
1879-01-07,41,19181
1879-01-08,50,38004
1879-01-09,28,19581
1879-01-10,47,19705
1879-01-11,52,17504
1879-01-12,80,19313
1879-01-13,50,19903
1879-01-14,33,20007
1879-01-15,33,40153
1879-01-16,53,20048
1879-01-17,27,19829
1879-01-18,22,19074
1879-01-19,63,18244
1879-01-20,40,20419
1879-01-21,46,19446
1879-01-22,29,32970
1879-01-23,62,18856
1879-01-24,24,19683
1879-01-25,34,18914
1879-01-26,37,19702
1879-01-27,41,17676
1879-01-28,31,17828
1879-01-29,39,39837
1879-01-30,30,17984
1879-01-31,48,19305
1879-02-01,33,18271
1879-02-02,49,16363
1879-02-03,22,16630
1879-02-04,34,17320
1879-02-05,41,41861
1879-02-06,67,17463
1879-02-07,43,18434
1879-02-08,64,19314
1879-02-09,44,15427
1879-02-10,54,17510
1879-02-11,35,19815
1879-02-12,32,33624
1879-02-13,24,18800
1879-02-14,27,19054
1879-02-15,50,19277
1879-02-16,38,17859
1879-02-17,42,19023
1879-02-18,55,19961
1879-02-19,52,39306
1879-02-20,38,20168
1879-02-21,47,21603
1879-02-22,42,19513
1879-02-23,42,21148
1879-02-24,39,18659
1879-02-25,43,20540
1879-02-26,33,36562
1879-02-27,46,20268
1879-02-28,34,19147
1879-03-01,58,18731
1879-03-02,22,15720
1879-03-03,31,18553
1879-03-04,50,20234
1879-03-05,41,35757
1879-03-06,40,19086
1879-03-07,42,19392
1879-03-08,27,18455
1879-03-09,16,18464
1879-03-10,43,19569
1879-03-11,35,20109
1879-03-12,54,36433
1879-03-13,25,18879
1879-03-14,28,19694
1879-03-15,41,18151
1879-03-16,23,15052
1879-03-17,38,18599
1879-03-18,42,18656
1879-03-19,70,38262
1879-03-20,42,20115
1879-03-21,27,21274
1879-03-22,81,17673
1879-03-23,26,18181
1879-03-24,28,18904
1879-03-25,53,21006
1879-03-26,41,38134
1879-03-27,30,18271
1879-03-28,47,19594
1879-03-29,45,17608
1879-03-30,47,20312
1879-03-31,47,17901
1879-04-01,31,18871
1879-04-02,58,43398
1879-04-03,50,20599
1879-04-04,33,20101
1879-04-05,32,21501
1879-04-06,71,19560
1879-04-07,53,19682
1879-04-08,31,20112
1879-04-09,31,36429
1879-04-10,43,19831
1879-04-11,58,19733
1879-04-12,41,17335
1879-04-13,46,19667
1879-04-14,37,18148
1879-04-15,29,19075
1879-04-16,36,42405
1879-04-17,19,21176
1879-04-19,34,19907
1879-04-20,32,19169
1879-04-21,12,19183
1879-04-22,45,19997
1879-04-23,50,37155
1879-04-24,39,20085
1879-04-25,50,20622
1879-04-26,41,20064
