Date,Number of dates,length
1875-01-01,46,17121
1875-01-02,57,18169
1875-01-03,37,37687
1875-01-04,54,17841
1875-01-05,61,17663
1875-01-06,21,16323
1875-01-07,33,18775
1875-01-08,46,15972
1875-01-09,28,17812
1875-01-10,34,36564
1875-01-11,35,18575
1875-01-12,22,17921
1875-01-13,43,18191
1875-01-14,31,18050
1875-01-15,40,18416
1875-01-16,30,17916
1875-01-17,37,39233
1875-01-18,48,18417
1875-01-19,44,17375
1875-01-20,39,18080
1875-01-21,38,16638
1875-01-22,28,18967
1875-01-23,35,18922
1875-01-24,12,32454
1875-01-25,46,17889
1875-01-26,29,17926
1875-01-27,40,18464
1875-01-28,30,17283
1875-01-29,50,18305
1875-01-30,21,13665
1875-01-31,28,39067
1875-02-01,24,16109
1875-02-02,35,15539
1875-02-03,43,18087
1875-02-04,25,17379
1875-02-05,50,18242
1875-02-06,53,18063
1875-02-07,21,37910
1875-02-08,35,17550
1875-02-09,50,19283
1875-02-10,56,18370
1875-02-11,45,18488
1875-02-12,23,22692
1875-02-13,29,16679
1875-02-14,43,38313
1875-02-15,35,16809
1875-02-16,37,17920
1875-02-17,22,18072
1875-02-18,43,17444
1875-02-19,13,17900
1875-02-20,37,15685
1875-02-21,34,37826
1875-02-22,39,17865
1875-02-23,37,18776
1875-02-24,50,17867
1875-02-25,17,19073
1875-02-26,25,18190
1875-02-27,38,17132
1875-02-28,11,34929
1875-03-01,38,29668
1875-03-02,27,17662
1875-03-03,36,19677
1875-03-04,34,16979
1875-03-05,39,18672
1875-03-06,38,15965
1875-03-07,18,37084
1875-03-08,20,15580
1875-03-09,25,17347
1875-03-10,24,18923
1875-03-11,28,17200
1875-03-12,21,16879
1875-03-13,14,16053
1875-03-14,30,33092
1875-03-15,47,13979
1875-03-16,45,17751
1875-03-17,44,18219
1875-03-18,31,17513
1875-03-19,22,19170
1875-03-20,57,19186
1875-03-21,24,37300
1875-03-22,25,18357
1875-03-23,31,18242
1875-03-24,51,18403
1875-03-25,41,18982
1875-03-26,21,20272
1875-03-27,20,18908
1875-03-28,23,40027
1875-03-29,30,17127
1875-03-31,22,19948
1875-04-01,32,17874
1875-04-02,18,18383
1875-04-03,47,17466
1875-04-04,20,36108
1875-04-05,23,15992
1875-04-06,29,18013
1875-04-07,41,18510
1875-04-08,26,18393
1875-04-09,23,17668
1875-04-10,19,16943
1875-04-11,17,36457
1875-04-12,35,18321
1875-04-13,34,18138
1875-04-14,41,16510
1875-04-15,59,17931
1875-04-16,32,17572
1875-04-17,53,19093
1875-04-18,18,37500
1875-04-19,41,17362
1875-04-20,41,18485
1875-04-21,20,17612
1875-04-22,42,18001
1875-04-23,18,17776
1875-04-24,25,16543
1875-04-25,27,37165
1875-04-26,25,18522
1875-04-27,44,18984
1875-04-28,15,17013
1875-04-29,30,16728
1875-04-30,31,18194
1875-05-01,33,16169
1875-05-02,18,33519
1875-05-03,50,18092
1875-05-04,33,18090
1875-05-05,24,18709
1875-05-06,19,18000
1875-05-07,30,19631
1875-05-08,75,19598
1875-05-09,12,38845
1875-05-10,45,18547
1875-05-11,31,18344
1875-05-12,48,18161
1875-05-13,52,17819
1875-05-14,35,18176
1875-05-15,58,17185
1875-05-16,29,38988
1875-05-17,27,20510
1875-05-18,33,18870
1875-05-19,46,18873
1875-05-20,37,18527
1875-05-21,42,18657
1875-05-22,28,20441
1875-05-23,21,38717
1875-05-24,48,19424
1875-05-25,46,20208
1875-05-26,34,17676
1875-05-27,28,19965
1875-05-28,45,19106
1875-05-29,38,18951
1875-05-30,22,40367
1875-05-31,29,19023
1875-06-01,38,18565
1875-06-02,37,19931
1875-06-03,49,19271
1875-06-04,44,19849
1875-06-05,63,18534
1875-06-06,30,24547
1875-06-07,43,18841
1875-06-08,26,17552
1875-06-09,16,19724
1875-06-10,41,18704
1875-06-11,35,20643
1875-06-12,41,19178
1875-06-13,43,39119
1875-06-14,36,18595
1875-06-15,30,18800
1875-06-16,34,19091
1875-06-17,30,20276
1875-06-18,14,20441
1875-06-19,26,20896
1875-06-20,16,39467
1875-06-21,37,19816
1875-06-22,26,19462
1875-06-23,35,19912
1875-06-24,39,20072
1875-06-25,22,18755
1875-06-26,42,19899
1875-06-27,27,39503
1875-06-28,54,19973
1875-06-29,35,19032
1875-06-30,31,19946
1875-07-01,38,18225
1875-07-02,48,19380
1875-07-03,33,18275
1875-07-04,27,38550
1875-07-05,40,19062
1875-07-06,41,18407
1875-07-07,39,17923
1875-07-08,25,16957
1875-07-09,30,20322
1875-07-10,25,19983
1875-07-11,13,39632
1875-07-12,32,19082
1875-07-13,23,18878
1875-07-14,22,18736
1875-07-15,26,19744
1875-07-16,31,18723
1875-07-17,23,17500
1875-07-18,38,40447
1875-07-19,51,19571
1875-07-20,17,17447
1875-07-21,42,18840
1875-07-22,24,18595
1875-07-23,70,20123
1875-07-24,22,18718
1875-07-25,31,39664
1875-07-26,32,20050
1875-07-27,48,18631
1875-07-28,31,18940
1875-07-29,39,19532
1875-07-30,47,19314
1875-07-31,37,21577
1875-08-01,17,39056
1875-08-02,37,18245
1875-08-03,32,18698
1875-08-04,20,18461
1875-08-05,22,20518
1875-08-06,39,19509
1875-08-07,43,18797
1875-08-08,36,40323
1875-08-09,39,20047
1875-08-10,47,18065
1875-08-11,40,20248
1875-08-12,44,20931
1875-08-13,39,18883
1875-08-14,29,19953
1875-08-15,24,40485
