Date,Number of dates,length
1885-01-07,32,37231
1885-01-22,31,19361
1885-01-23,33,17926
1885-01-24,31,16141
1885-01-25,40,17715
1885-01-26,30,16908
1885-01-27,47,18150
1885-01-28,50,36078
1885-01-29,33,18425
1885-01-30,42,19664
1885-01-31,35,20511
1885-02-01,31,16399
1885-02-02,17,20197
1885-02-03,35,20000
1885-02-04,38,35678
1885-02-05,39,20104
1885-02-06,52,19119
1885-02-07,41,19603
1885-02-08,51,14823
1885-02-09,36,19058
1885-02-10,50,20038
1885-02-12,57,20257
1885-02-13,33,19094
1885-02-14,31,18154
1885-02-15,55,17768
1885-02-16,46,20197
1885-02-17,58,19696
1885-02-18,24,36722
1885-02-19,25,19309
1885-02-20,45,20146
1885-02-21,55,19510
1885-02-22,25,18681
1885-02-23,42,19919
1885-02-24,52,19567
1885-02-25,46,38787
1885-02-26,43,19025
1885-02-28,40,17631
1885-03-01,44,14584
1885-03-02,43,19669
1885-03-03,30,19103
1885-03-04,62,39141
1885-03-05,32,18230
1885-03-06,28,20083
1885-03-07,45,20091
1885-03-08,59,17923
1885-03-09,39,20702
1885-03-10,32,20436
1885-03-13,61,17427
1885-03-15,56,16487
1885-03-16,30,19216
1885-03-17,41,19172
1885-03-18,23,36002
1885-03-21,24,19299
1885-03-22,58,16716
1885-03-23,38,19607
1885-03-24,26,19645
1885-03-25,60,39232
1885-03-26,55,20472
1885-03-27,27,19828
1885-03-28,53,19886
1885-03-29,58,20147
1885-03-31,42,19023
1885-04-02,63,19205
1885-04-03,38,20366
1885-04-04,30,18052
1885-04-05,26,17947
1885-04-06,56,20121
1885-04-07,47,19324
1885-04-08,22,38081
1885-04-09,30,19693
1885-04-23,17,19382
1885-04-25,20,19828
1885-04-27,31,19456
1885-04-28,31,18345
1885-04-30,34,19421
1885-05-15,38,19618
1885-05-16,50,20632
1885-05-17,58,17799
1885-05-20,37,33100
1885-05-28,53,18542
1885-06-04,53,18533
1885-07-01,62,37658
1885-08-06,47,19233
1885-08-10,46,21234
1885-08-11,32,19655
1885-08-12,43,37358
1885-08-13,31,19648
1885-08-14,54,20164
1885-08-15,31,20832
1885-08-16,35,19927
1885-08-17,71,21345
1885-08-18,45,20851
1885-08-19,38,36410
1885-08-20,55,19415
1885-08-21,30,18732
1885-08-22,35,21309
1885-08-23,59,20193
1885-08-24,35,20888
1885-08-25,42,19775
1885-08-26,36,37130
1885-08-27,53,19578
1885-08-28,29,19223
1885-08-29,31,20230
1885-08-30,46,19025
1885-08-31,31,20515
1885-09-01,34,18495
1885-09-02,34,39386
1885-09-03,33,18558
1885-09-04,33,19500
1885-09-05,43,20256
1885-09-06,57,19924
1885-09-07,33,20833
1885-09-08,25,18561
1885-09-09,40,40044
1885-09-10,35,19130
1885-09-11,56,20307
1885-09-12,45,18529
1885-09-13,40,18681
1885-09-14,62,20656
1885-09-15,35,18895
1885-09-16,60,37731
1885-09-17,32,18533
1885-09-18,47,20617
1885-09-19,45,19382
1885-09-20,58,17422
1885-09-21,24,19497
1885-09-22,51,20625
1885-09-23,41,36996
1885-09-24,49,19299
1885-09-25,47,19592
1885-09-26,24,17986
1885-09-27,67,17971
1885-09-28,33,19356
1885-09-29,31,19391
1885-09-30,31,36849
1885-10-01,37,18446
1885-10-02,22,18752
1885-10-03,24,14528
1885-10-04,53,14309
1885-10-05,45,18332
1885-10-06,36,10146
1885-10-07,60,33890
1885-10-08,28,19027
1885-10-09,32,18711
1885-10-10,53,17935
1885-10-11,51,15918
1885-10-12,19,18963
1885-10-13,39,19590
1885-10-14,42,37143
1885-10-15,48,19298
1885-10-16,31,19796
1885-10-17,36,19951
1885-10-18,59,16642
1885-10-19,41,17447
1885-10-20,51,15060
1885-10-21,40,32550
1885-10-22,36,18206
1885-10-23,28,19182
1885-10-24,35,19104
1885-10-25,56,18622
1885-10-26,39,21087
1885-10-27,34,20028
1885-10-28,37,38377
1885-10-29,38,19691
1885-10-30,63,18682
1885-10-31,56,20646
1885-11-01,58,18491
1885-11-02,25,21299
1885-11-03,70,20372
1885-11-04,18,39155
1885-11-05,40,18781
1885-11-06,37,18927
1885-11-07,34,19514
1885-11-08,34,17127
1885-11-09,29,19860
1885-11-10,25,16788
1885-11-11,42,37093
1885-11-12,34,19440
1885-11-13,37,18711
1885-11-14,64,20499
1885-11-15,58,18387
1885-11-16,39,20170
1885-11-17,20,20094
1885-11-18,49,36158
1885-11-19,54,20105
1885-11-20,49,18491
1885-11-21,65,17808
1885-11-22,46,18901
1885-11-23,53,20038
1885-11-24,31,19741
1885-11-25,45,38151
1885-11-26,31,19174
1885-11-27,34,19597
1885-11-28,48,20459
1885-11-29,53,18529
1885-11-30,53,20627
1885-12-01,25,19560
1885-12-02,48,36365
1885-12-03,34,18652
1885-12-04,36,20216
1885-12-05,27,16411
1885-12-06,46,16232
1885-12-07,57,20262
1885-12-08,38,18990
1885-12-09,63,35994
1885-12-10,19,18449
1885-12-11,18,17912
1885-12-12,28,19111
1885-12-13,47,17405
1885-12-14,42,20201
1885-12-15,22,19076
1885-12-16,46,37186
1885-12-17,51,18954
1885-12-18,39,20482
1885-12-19,19,19872
1885-12-20,52,16163
1885-12-21,41,18457
1885-12-22,61,18897
1885-12-23,22,36791
1885-12-24,42,18076
1885-12-25,42,19336
1885-12-26,27,18976
1885-12-27,56,19267
1885-12-28,31,18623
1885-12-29,39,17119
1885-12-30,29,37074
1885-12-31,28,17895
