Date,Number of dates,length
1878-01-02,57,19741
1878-01-04,27,18712
1878-01-05,29,17815
1878-01-06,33,17446
1878-01-07,32,14364
1878-01-08,14,18952
1878-01-09,59,19107
1878-01-10,35,18118
1878-01-11,35,18668
1878-01-12,28,17511
1878-01-13,35,19776
1878-01-14,38,16429
1878-01-15,59,19429
1878-01-16,66,18749
1878-01-17,36,19515
1878-01-18,28,18704
1878-01-19,52,17182
1878-01-20,35,19150
1878-01-21,35,19221
1878-01-22,48,19532
1878-01-23,26,19120
1878-01-24,54,18506
1878-01-25,42,19370
1878-01-26,45,17191
1878-01-27,34,18371
1878-01-28,28,17469
1878-01-29,26,19124
1878-01-30,29,14086
1878-01-31,30,18706
1878-02-01,35,18567
1878-02-02,36,16935
1878-02-03,17,17685
1878-02-04,24,19680
1878-02-05,38,18211
1878-02-06,31,19936
1878-02-07,21,19445
1878-02-08,48,19819
1878-02-09,23,16691
1878-02-10,30,18118
1878-02-11,19,17447
1878-02-12,27,18285
1878-02-13,25,18097
1878-02-14,60,18850
1878-02-15,56,18111
1878-02-16,17,15199
1878-02-17,25,15838
1878-02-18,41,17222
1878-02-19,33,18583
1878-02-20,24,19506
1878-02-21,35,19032
1878-02-22,55,18478
1878-02-23,35,17841
1878-02-24,38,17372
1878-02-25,31,17689
1878-02-26,42,19113
1878-02-27,35,17056
1878-02-28,33,19242
1878-03-01,21,18520
1878-03-02,35,18800
1878-03-03,27,17511
1878-03-04,50,16588
1878-03-05,48,19196
1878-03-06,50,17741
1878-03-07,33,18585
1878-03-08,35,18727
1878-03-09,27,13892
1878-03-10,29,17528
1878-03-11,11,16920
1878-03-12,21,19001
1878-03-13,27,15636
1878-03-14,18,18148
1878-03-15,49,18763
1878-03-16,27,15082
1878-03-18,24,16753
1878-03-19,39,18599
1878-03-20,55,17498
1878-03-21,37,14060
1878-03-22,40,16573
1878-03-23,31,15848
1878-03-24,32,17108
1878-03-25,31,15458
1878-03-26,22,16053
1878-03-27,30,18601
1878-03-28,39,19197
1878-03-29,47,18780
1878-03-30,25,18002
1878-03-31,47,19029
1878-04-01,58,19515
1878-04-02,70,18747
1878-04-03,48,19043
1878-04-04,15,18145
1878-04-05,37,17973
1878-04-06,43,15766
1878-04-07,46,16210
1878-04-08,25,16185
1878-04-09,36,19203
1878-04-10,44,19612
1878-04-11,23,18563
1878-04-12,34,18247
1878-04-13,17,16830
1878-04-14,45,17446
1878-04-15,22,19084
1878-04-16,40,20994
1878-04-17,24,17964
1878-04-18,27,18746
1878-04-19,31,18420
1878-04-20,21,15573
1878-04-21,68,18944
1878-04-22,27,18376
1878-04-24,25,21582
1878-04-25,43,18549
1878-04-26,61,17762
1878-04-27,29,18125
1878-04-28,37,18509
1878-04-29,21,19049
1878-04-30,52,17666
1878-05-01,53,18316
1878-05-02,18,17488
1878-05-03,43,18779
1878-05-04,41,16716
1878-05-05,52,17189
1878-05-06,25,17176
1878-05-07,48,16958
1878-05-08,23,21379
1878-05-09,49,18690
1878-05-10,40,20019
1878-05-11,50,17384
1878-05-12,49,17088
1878-05-13,52,18064
1878-05-14,27,17890
1878-05-15,39,21320
1878-05-16,61,18404
