Date,Number of dates,length
1887-01-08,48,18546
1887-04-17,72,19559
1887-04-18,57,18935
1887-04-19,41,18150
1887-06-29,54,38964
1887-08-24,42,29982
1887-10-01,21,14459
1887-10-04,51,19597
1887-10-10,26,19997
1887-10-12,27,38681
1887-10-17,44,19860
1887-11-01,33,19193
1887-11-02,42,37701
1887-11-03,49,18856
1887-11-04,37,20291
1887-11-05,55,19458
1887-11-06,37,17818
1887-11-09,45,35750
1887-11-11,39,19331
1887-11-17,67,18441
1887-11-24,19,16783
1887-11-25,45,19382
1887-11-26,27,17183
1887-11-28,21,18339
1887-12-01,42,18164
