Date,Number of dates,length
1897-01-01,53,27820
1897-01-02,57,24543
1897-01-03,47,27833
1897-01-04,59,24670
1897-01-05,38,28283
1897-01-06,31,29152
1897-01-07,40,26961
1897-01-08,52,29807
1897-01-09,42,23825
1897-01-10,78,28412
1897-01-11,36,25822
1897-01-12,43,29261
1897-01-13,44,25057
1897-01-14,30,27355
1897-01-15,31,27199
1897-01-16,47,23846
1897-01-17,44,27126
1897-01-18,56,26268
1897-01-19,36,28537
1897-01-20,36,26165
1897-01-21,50,25523
1897-01-22,52,28593
1897-01-23,58,23204
1897-01-24,38,26787
1897-01-25,49,25431
1897-01-26,76,29551
1897-01-27,33,24683
1897-01-28,38,28603
1897-01-29,28,28217
1897-01-30,39,22098
1897-01-31,58,22738
1897-02-01,38,25760
1897-02-02,45,28326
1897-02-03,40,22572
1897-02-04,38,25930
1897-02-06,34,22744
1897-02-07,49,29267
1897-02-08,27,26247
1897-02-09,38,27389
1897-02-10,61,23311
1897-02-11,40,27441
1897-02-12,34,27081
1897-02-13,34,26021
1897-02-14,36,25436
1897-02-15,46,25709
1897-02-16,36,28257
1897-02-17,46,24259
1897-02-18,50,26417
1897-02-19,32,28364
1897-02-20,38,23660
1897-02-21,36,26152
1897-02-22,30,28513
1897-02-23,42,28426
1897-02-24,61,24391
1897-02-25,51,26848
1897-02-26,30,30266
1897-02-27,42,24021
1897-02-28,80,28817
1897-03-01,35,25064
1897-03-02,38,28248
1897-03-03,41,25675
1897-03-04,45,26089
1897-03-05,42,28762
1897-03-06,55,23877
1897-03-07,49,21544
1897-03-08,40,27117
1897-03-09,34,27925
1897-03-10,41,24733
1897-03-11,44,26932
1897-03-12,38,29308
1897-03-13,46,23508
1897-03-14,59,27624
1897-03-15,38,26561
1897-03-16,26,26578
1897-03-17,58,24812
1897-03-18,56,28091
1897-03-19,34,29668
1897-03-20,37,22737
1897-03-21,30,28693
1897-03-22,42,25219
1897-03-23,29,28734
1897-03-24,64,23727
1897-03-25,37,27638
1897-03-26,35,26929
1897-03-27,54,24880
1897-03-28,52,24720
1897-03-29,47,26460
1897-03-30,67,29418
1897-03-31,24,23987
1897-04-01,31,24917
1897-04-02,34,25884
1897-04-03,29,25476
1897-04-04,59,24719
1897-04-05,49,25690
1897-04-06,66,27536
1897-04-07,40,25230
1897-04-08,39,26794
1897-04-09,36,28496
1897-04-10,50,22520
1897-04-11,37,24512
1897-04-12,67,24556
1897-04-13,69,28353
1897-04-14,37,24575
1897-04-15,27,26294
1897-04-16,46,27551
1897-04-17,53,22590
1897-04-18,27,28170
1897-04-19,27,27575
1897-04-20,41,30214
1897-04-21,42,25472
1897-04-22,56,27481
1897-04-23,40,28940
1897-04-24,26,25185
1897-04-25,44,27616
1897-04-26,55,27504
1897-04-27,59,28637
1897-04-28,42,23782
1897-04-29,33,27282
1897-04-30,55,28074
1897-05-01,44,24640
1897-05-02,22,23888
1897-05-03,35,25690
1897-05-04,44,26421
1897-05-05,47,23556
1897-05-06,35,26281
1897-05-08,59,27773
1897-05-09,55,26512
1897-05-10,60,28420
1897-05-11,41,26405
1897-05-12,30,23270
1897-05-13,44,25668
1897-05-14,34,26080
1897-05-15,40,25956
1897-05-16,46,27860
1897-05-17,27,24664
1897-05-18,43,27417
1897-05-19,41,22406
1897-05-20,26,25684
1897-05-21,43,28417
1897-05-22,36,22239
1897-05-23,24,29397
1897-05-24,28,26085
1897-05-25,42,28871
1897-05-26,55,25203
1897-05-27,40,26237
1897-05-28,38,30509
1897-05-29,47,24832
1897-05-30,51,27496
1897-05-31,62,26303
1897-06-01,36,25501
1897-06-02,43,24542
1897-06-03,56,26560
1897-06-04,41,28514
1897-06-05,37,24157
1897-06-06,37,28194
1897-06-07,32,26097
1897-06-08,29,28934
1897-06-09,34,25952
1897-06-10,19,27800
1897-06-11,40,29316
1897-06-12,43,24334
1897-06-13,36,26324
1897-06-14,40,25060
1897-06-15,40,29362
1897-06-16,49,26620
1897-06-17,20,26885
1897-06-18,43,29228
1897-06-19,44,23399
1897-06-20,22,26545
1897-06-21,33,25942
1897-06-22,38,25225
1897-06-23,51,25848
1897-06-24,37,27245
1897-06-25,34,25182
1897-06-26,33,25619
1897-06-27,44,26930
1897-06-28,26,25323
1897-06-29,23,26028
1897-06-30,46,26304
1897-07-01,41,28420
1897-07-02,38,23889
1897-07-03,57,23464
1897-07-04,38,27053
1897-07-05,51,26311
1897-07-06,33,28463
1897-07-07,48,28135
1897-07-08,42,27115
1897-07-09,32,29380
1897-07-10,51,24228
1897-07-11,53,28314
1897-07-12,20,26864
1897-07-13,39,28563
1897-07-14,42,27655
1897-07-15,45,29046
1897-07-16,39,27543
1897-07-17,56,23597
1897-07-18,50,29277
1897-07-19,43,27883
1897-07-20,35,28046
1897-07-21,49,26652
1897-07-22,40,26956
1897-07-23,68,29154
1897-07-24,28,23497
1897-07-25,47,27758
1897-07-26,44,27111
1897-07-27,32,28016
1897-07-28,48,26944
1897-07-29,57,27165
1897-07-30,24,27841
1897-07-31,77,23503
1897-08-01,35,27416
1897-08-02,26,26741
1897-08-03,38,28521
1897-08-04,48,27965
1897-08-05,39,26148
1897-08-06,33,29293
1897-08-07,27,24196
1897-08-08,40,28776
1897-08-09,45,27805
1897-08-10,28,28446
1897-08-11,34,28181
1897-08-12,35,26952
1897-08-13,62,28436
1897-08-14,24,23762
1897-08-15,38,28325
1897-08-16,39,29241
1897-08-17,35,28662
1897-08-18,29,27932
1897-08-19,13,12793
1897-08-20,42,28541
1897-08-21,38,23838
1897-08-22,28,29260
1897-08-23,43,28875
1897-08-24,32,28951
1897-08-25,28,27614
1897-08-26,49,27019
1897-08-27,24,28675
1897-08-28,23,24304
1897-08-29,54,29814
1897-08-30,38,26786
1897-08-31,32,27878
1897-09-01,30,27376
1897-09-02,32,27366
1897-09-03,30,29693
1897-09-04,50,24111
1897-09-05,35,28904
1897-09-06,30,31873
1897-09-07,29,24059
1897-09-08,33,27924
1897-09-09,56,26753
1897-09-11,35,23233
1897-09-12,40,29937
1897-09-13,30,28904
1897-09-14,47,27174
1897-09-15,47,27239
1897-09-16,43,26930
1897-09-17,41,27793
1897-09-18,19,22697
1897-09-19,42,23483
1897-09-20,29,29064
1897-09-21,38,28027
1897-09-22,53,28310
1897-09-23,39,27394
1897-09-24,30,26215
1897-09-25,39,23098
1897-09-26,29,27234
1897-09-27,49,28802
1897-09-28,35,29903
1897-09-29,64,26919
1897-09-30,37,26381
1897-10-01,18,28343
1897-10-02,44,23822
1897-10-03,32,22061
1897-10-04,70,27160
1897-10-05,29,29612
1897-10-06,42,25592
1897-10-07,29,27495
1897-10-08,65,29713
1897-10-09,55,25898
1897-10-10,37,26773
1897-10-11,27,28329
1897-10-12,52,28538
1897-10-13,43,23986
1897-10-14,48,27162
1897-10-15,43,29153
1897-10-16,40,23388
1897-10-17,40,26549
1897-10-18,41,26714
1897-10-19,34,24875
1897-10-20,44,20136
1897-10-21,50,25327
1897-10-22,52,29544
1897-10-23,39,23614
1897-10-24,48,25170
1897-10-25,39,28583
1897-10-26,29,29493
1897-10-27,50,25069
1897-10-28,50,24680
1897-10-29,38,28580
1897-10-30,48,21835
1897-10-31,42,29288
1897-11-01,54,28727
1897-11-02,31,31226
1897-11-03,36,24393
1897-11-04,36,26816
1897-11-05,67,28143
1897-11-06,37,25575
1897-11-07,53,24814
1897-11-08,43,25952
1897-11-09,77,29780
1897-11-10,50,25697
1897-11-11,43,26288
1897-11-12,43,28194
1897-11-13,42,22555
1897-11-14,56,26423
1897-11-15,38,26343
1897-11-16,40,27418
1897-11-17,48,24446
1897-11-18,62,26718
1897-11-19,45,26455
1897-11-20,62,25138
1897-11-21,45,27374
1897-11-22,31,26189
1897-11-23,26,28136
1897-11-24,71,26257
1897-11-25,20,25922
1897-11-26,55,26546
1897-11-27,59,22915
1897-11-28,54,27402
1897-11-29,39,25039
1897-11-30,53,23829
1897-12-01,32,22930
1897-12-02,83,25713
1897-12-03,52,25571
1897-12-04,44,23295
1897-12-05,65,20790
1897-12-06,59,25982
1897-12-07,67,27404
1897-12-08,41,24046
1897-12-09,54,26703
1897-12-10,61,28066
1897-12-11,50,24794
1897-12-12,49,27200
1897-12-13,51,26559
1897-12-14,35,26098
1897-12-15,57,26140
1897-12-16,73,25592
1897-12-17,72,28239
1897-12-18,44,24081
1897-12-19,43,26860
1897-12-20,80,26273
1897-12-21,56,26273
1897-12-22,19,26560
1897-12-23,52,25339
1897-12-24,29,22428
1897-12-25,56,23466
1897-12-26,88,30967
1897-12-27,22,25320
1897-12-28,51,27161
1897-12-29,67,27009
1897-12-30,52,26167
1897-12-31,64,27283
