Date,Number of dates,length
1877-01-01,21,15922
1877-01-03,24,35140
1877-01-04,31,17710
1877-01-05,30,17898
1877-01-06,21,16951
1877-01-07,29,17859
1877-01-08,29,17420
1877-01-09,39,19514
1877-01-10,24,39579
1877-01-11,55,19703
1877-01-12,41,20574
1877-01-13,23,19339
1877-01-14,51,18061
1877-01-15,32,17893
1877-01-16,37,18619
1877-01-17,32,41667
1877-01-18,47,19349
1877-01-19,46,18953
1877-01-20,55,18690
1877-01-21,24,19909
1877-01-22,31,17277
1877-01-23,37,19172
1877-01-24,35,40373
1877-01-25,22,18246
1877-01-26,35,17843
1877-01-27,21,17215
1877-01-28,60,14754
1877-01-29,30,17325
1877-01-30,41,19349
1877-01-31,61,40721
1877-02-01,36,18235
1877-02-02,35,18072
1877-02-03,44,20015
1877-02-04,62,16473
1877-02-05,28,17866
1877-02-06,40,18594
1877-02-07,40,40287
1877-02-08,36,17896
1877-02-09,40,20264
1877-02-10,63,19078
1877-02-11,41,19772
1877-02-12,42,19023
1877-02-13,56,19080
1877-02-14,22,41377
1877-02-15,33,18940
1877-02-16,34,18436
1877-02-17,39,18934
1877-02-18,33,16539
1877-02-19,21,18929
1877-02-20,54,18231
1877-02-21,52,42048
1877-02-22,49,21277
1877-02-23,36,19451
1877-02-24,40,17310
1877-02-25,28,18650
1877-02-26,25,18297
1877-02-27,37,17888
1877-02-28,39,41764
1877-03-01,47,18842
1877-03-02,26,18934
1877-03-03,29,16889
1877-03-04,55,17861
1877-03-05,43,17543
1877-03-06,30,19212
1877-03-07,37,40646
1877-03-08,15,17536
1877-03-09,41,19443
1877-03-10,13,17313
1877-03-11,27,15952
1877-03-12,16,18112
1877-03-13,47,18184
1877-03-14,31,40776
1877-03-15,29,18168
1877-03-16,20,18816
1877-03-17,33,17444
1877-03-18,41,17255
1877-03-19,31,18257
1877-03-20,40,18698
1877-03-21,48,41926
1877-03-22,40,18649
1877-03-23,36,20767
1877-03-24,19,18057
1877-03-25,42,19638
1877-03-26,40,19489
1877-03-28,27,42339
1877-03-29,57,17215
1877-03-30,35,18991
1877-03-31,14,17589
1877-04-01,50,18134
1877-04-02,40,18287
1877-04-04,23,41956
1877-04-05,26,17980
1877-04-06,47,18659
1877-04-07,36,13700
1877-04-08,32,15044
1877-04-09,22,15373
1877-04-10,41,18612
1877-04-11,41,40441
1877-04-12,36,18745
1877-04-13,56,17154
1877-04-14,25,17445
1877-04-15,23,17463
1877-04-16,33,17298
1877-04-17,26,19122
1877-04-18,64,41989
1877-04-19,28,19757
1877-04-20,35,20247
1877-04-21,57,17772
1877-04-22,31,18855
1877-04-23,13,19358
1877-04-24,43,18993
1877-04-25,16,42489
1877-04-26,44,18690
1877-04-27,45,19164
1877-04-28,29,16284
1877-04-29,43,19621
1877-04-30,30,18366
1877-05-01,44,18501
1877-05-02,34,42409
1877-05-03,29,17867
1877-05-04,62,18711
1877-05-05,14,18343
1877-05-06,52,16690
1877-05-07,14,17895
1877-05-08,29,19083
1877-05-09,36,41724
1877-05-10,49,18572
1877-05-11,38,18953
1877-05-12,28,14569
1877-05-13,44,16444
1877-05-14,45,20746
1877-05-15,25,21417
1877-05-16,22,44376
1877-05-17,63,17549
1877-05-18,55,20315
1877-05-19,28,17514
1877-05-20,28,17770
1877-05-21,21,19054
1877-05-22,39,19339
1877-05-23,35,41210
1877-05-24,36,18397
1877-05-25,31,17963
1877-05-26,24,15766
1877-05-27,58,19600
1877-05-28,52,18038
1877-05-29,30,18746
1877-05-30,40,39555
1877-05-31,20,17706
1877-06-01,56,18476
1877-06-02,49,15607
1877-06-03,20,16893
1877-06-04,34,17359
1877-06-05,37,18537
1877-06-06,45,41797
1877-06-07,23,18096
1877-06-08,25,18547
1877-06-09,28,18428
1877-06-10,37,18264
1877-06-11,26,17352
1877-06-12,51,18882
1877-06-13,35,41808
1877-06-14,22,18738
1877-06-15,53,20098
1877-06-16,38,17787
1877-06-17,59,18081
1877-06-18,26,19621
1877-06-19,42,17895
1877-06-20,25,41873
1877-06-21,48,18540
1877-06-22,33,19352
1877-06-23,62,18518
1877-06-24,48,18362
1877-06-25,37,18844
1877-06-26,40,19830
1877-06-27,56,41799
1877-06-28,36,18810
1877-06-29,38,17922
1877-06-30,38,18113
1877-07-01,28,15994
1877-07-02,29,19917
1877-07-03,41,19968
1877-07-04,44,44326
1877-07-05,31,19704
1877-07-06,32,17885
1877-07-07,28,18172
1877-07-08,42,20036
1877-07-09,54,19871
1877-07-10,30,19201
1877-07-11,53,41947
1877-07-12,19,20126
1877-07-13,33,18949
1877-07-14,34,17481
1877-07-15,77,19376
1877-07-16,26,17973
1877-07-17,52,19489
1877-07-18,27,42922
1877-07-19,52,18994
1877-07-20,35,18643
1877-07-21,59,18650
1877-07-22,27,20275
1877-07-23,30,17895
1877-07-24,50,23044
1877-07-25,38,22169
1877-07-26,39,18496
1877-07-27,26,18459
1877-07-28,31,17070
1877-07-29,26,19077
1877-07-30,19,18295
1877-07-31,24,19249
1877-08-01,35,18371
1877-08-02,22,19011
1877-08-03,28,19149
1877-08-04,28,17179
1877-08-05,44,19443
1877-08-06,19,17966
1877-08-07,29,20290
1877-08-08,29,19677
1877-08-09,42,19088
1877-08-10,28,17040
1877-08-11,22,17277
1877-08-12,44,19535
1877-08-13,21,18316
1877-08-14,45,18734
1877-08-15,29,18998
1877-08-16,33,18857
1877-08-17,49,20232
1877-08-18,27,16694
1877-08-19,59,19416
1877-08-20,53,18772
1877-08-21,23,18554
1877-08-22,30,19913
1877-08-23,21,18814
1877-08-24,41,19037
1877-08-25,28,16373
1877-08-26,35,19021
1877-08-27,22,17842
1877-08-28,32,18488
1877-08-29,35,23475
1877-08-30,28,19009
1877-08-31,43,18156
1877-09-01,36,17161
1877-09-02,38,18733
1877-09-03,36,18154
1877-09-04,50,18443
1877-09-05,36,20871
1877-09-06,25,18948
1877-09-07,20,18101
1877-09-08,29,16775
1877-09-09,48,18765
1877-09-10,37,17658
1877-09-11,31,18946
1877-09-12,53,24421
1877-09-13,29,16961
1877-09-14,56,17745
1877-09-15,26,18217
1877-09-16,41,17321
1877-09-17,16,17781
1877-09-18,35,19026
1877-09-19,25,24182
1877-09-20,40,18649
1877-09-21,35,18869
1877-09-22,23,17057
1877-09-23,36,17989
1877-09-24,49,16645
1877-09-25,27,18511
1877-09-26,31,23623
1877-09-27,48,18742
1877-09-28,32,18465
1877-09-29,45,15472
1877-09-30,45,16900
1877-10-01,20,20472
1877-10-02,38,17972
1877-10-03,27,17466
1877-10-04,46,18417
1877-10-05,27,18716
1877-10-06,8,14019
1877-10-07,44,17117
1877-10-08,32,16675
1877-10-09,81,17066
1877-10-10,31,16708
1877-10-11,21,19054
1877-10-12,26,19848
1877-10-13,24,18120
1877-10-14,41,13036
1877-10-15,33,13071
1877-10-16,36,12738
1877-10-17,37,21613
1877-10-18,26,18578
1877-10-19,77,19142
1877-10-20,43,18052
1877-10-21,25,17598
1877-10-22,24,17182
1877-10-23,51,19502
1877-10-24,60,17848
1877-10-25,29,20699
1877-10-26,51,19060
1877-10-27,17,18236
1877-10-28,33,18135
1877-10-29,65,18366
1877-10-30,30,20060
1877-10-31,43,18672
1877-11-01,41,13238
1877-11-02,58,18672
1877-11-03,27,18769
1877-11-04,62,20367
1877-11-05,62,18663
1877-11-06,46,18930
1877-11-07,33,17522
1877-11-08,27,18401
1877-11-09,53,19406
1877-11-10,49,18753
1877-11-11,54,19712
1877-11-12,22,18828
1877-11-13,18,18708
1877-11-14,64,19638
1877-11-15,50,21640
1877-11-16,15,19846
1877-11-17,37,16724
1877-11-18,58,18911
1877-11-19,20,17785
1877-11-20,45,20067
1877-11-21,32,18714
1877-11-22,33,20157
1877-11-23,52,19339
1877-11-24,36,16752
1877-11-25,56,20118
1877-11-26,24,18830
1877-11-27,61,19616
1877-11-28,51,19447
1877-11-29,59,19115
1877-11-30,27,18328
1877-12-01,53,15985
1877-12-02,28,17841
1877-12-03,24,18586
1877-12-04,50,18519
1877-12-05,70,19906
1877-12-06,36,19500
1877-12-07,18,17953
1877-12-08,59,16447
1877-12-09,38,17109
1877-12-10,44,18622
1877-12-11,20,18872
1877-12-12,36,18437
1877-12-13,12,13668
1877-12-14,28,19142
1877-12-15,15,18305
1877-12-16,53,18365
1877-12-17,45,18038
1877-12-18,54,19386
1877-12-19,46,17964
1877-12-20,44,18429
1877-12-21,37,19061
1877-12-22,42,15106
1877-12-23,69,17617
1877-12-24,25,18083
1877-12-25,15,16508
1877-12-26,30,16855
1877-12-27,22,15145
1877-12-28,46,17646
1877-12-29,39,17404
1877-12-30,30,18085
1877-12-31,29,15352
