Date,Number of dates,length
1920-01-01,38,19584
1920-01-02,81,18993
1920-01-03,55,17656
1920-01-04,62,17119
1920-01-05,59,16709
1920-01-06,56,17977
1920-01-07,48,16891
1920-01-08,67,18510
1920-01-09,34,18545
1920-01-10,46,17483
1920-01-11,105,17221
1920-01-12,48,14091
1920-01-13,65,16966
1920-01-14,62,17495
1920-01-15,52,17418
1920-01-16,85,17827
1920-01-17,86,16807
1920-01-18,74,16965
1920-01-19,54,18160
1920-01-20,62,16848
1920-01-21,38,17804
1920-01-22,77,18623
1920-01-23,17,17765
1920-01-24,68,17537
1920-01-25,56,17272
1920-01-26,64,18697
1920-01-27,61,17679
1920-01-28,68,17338
1920-01-29,79,17475
1920-01-30,104,18525
1920-01-31,58,19457
1920-02-01,78,17901
1920-02-02,42,19382
1920-02-03,110,18146
1920-02-04,41,17974
1920-02-05,113,18486
1920-02-06,94,18643
1920-02-07,55,15477
1920-02-08,61,17431
1920-02-09,47,18899
1920-02-10,49,17656
1920-02-11,41,17691
1920-02-12,100,19409
1920-02-13,78,18249
1920-02-14,78,16707
1920-02-15,65,18870
1920-02-16,51,18309
1920-02-17,104,17834
1920-02-18,81,17099
1920-02-19,37,17690
1920-02-20,69,17568
1920-02-21,79,18575
1920-02-22,87,17176
1920-02-23,57,17858
1920-02-24,74,18165
1920-02-25,53,17432
1920-02-26,106,18126
1920-02-27,59,17123
1920-02-28,54,16008
1920-02-29,98,16151
1920-03-01,75,18975
1920-03-02,82,17665
1920-03-03,55,16798
1920-03-04,59,16875
1920-03-05,53,17744
1920-03-06,55,16911
1920-03-07,31,17208
1920-03-08,84,18276
1920-03-09,43,17408
1920-03-10,92,16897
1920-03-11,67,16850
1920-03-12,52,18630
1920-03-13,80,16515
1920-03-14,93,18395
1920-03-15,68,18534
1920-03-16,57,17832
1920-03-17,85,26737
1920-03-18,41,18166
1920-03-19,81,19196
1920-03-20,92,18240
1920-03-21,28,17024
1920-03-22,61,18516
1920-03-23,52,17748
1920-03-24,47,17881
1920-03-25,61,18276
1920-03-26,76,18747
1920-03-29,32,17831
1920-03-30,69,19542
1920-03-31,34,18686
1920-04-01,41,18801
1920-04-02,90,18145
1920-04-03,78,18444
1920-04-04,70,18932
1920-04-05,74,19159
1920-04-06,40,18164
1920-04-07,39,17776
1920-04-08,63,19519
1920-04-09,29,18636
1920-04-10,123,17885
1920-04-11,51,18152
1920-04-12,39,18962
1920-04-13,44,19079
1920-04-14,46,18285
1920-04-15,53,19285
1920-04-16,46,18199
1920-04-17,69,19207
1920-04-18,85,19030
1920-04-19,24,18722
1920-04-20,66,18724
1920-04-21,68,17801
1920-04-22,80,17584
1920-04-23,27,19049
1920-04-24,47,16886
1920-04-25,87,18156
1920-04-26,60,19759
1920-04-27,37,18063
1920-04-28,65,17943
1920-04-29,62,19040
1920-04-30,39,19000
1920-05-02,53,17754
1920-05-03,68,18304
1920-05-04,67,17825
1920-05-05,53,28211
1920-05-06,77,18506
1920-05-07,62,19218
1920-05-08,48,17814
1920-05-10,55,17206
1920-05-11,51,17928
1920-05-12,60,29061
1920-05-13,96,19211
1920-05-14,49,19361
1920-05-15,30,18145
1920-05-16,112,17474
1920-05-17,60,18668
1920-05-18,49,19346
1920-05-19,36,29184
1920-05-20,61,18897
1920-05-21,96,18105
1920-05-22,47,19073
1920-05-23,106,17402
1920-05-24,103,18487
1920-05-25,61,18928
1920-05-26,39,28607
1920-05-27,33,17931
1920-05-28,77,19288
1920-05-29,51,16888
1920-05-30,77,17615
1920-05-31,102,19558
1920-06-01,50,19184
1920-06-02,23,28175
1920-06-03,62,17859
1920-06-04,48,16919
1920-06-05,93,16986
1920-06-06,49,18793
1920-06-07,68,19053
1920-06-08,28,17280
1920-06-09,47,29058
1920-06-10,44,17158
1920-06-11,101,14047
1920-06-12,63,17066
1920-06-13,33,18907
1920-06-14,139,17516
1920-06-15,29,16917
1920-06-16,19,28701
1920-06-17,51,18113
1920-06-18,24,18106
1920-06-19,46,17453
1920-06-20,82,17312
1920-06-21,45,19139
1920-06-22,37,17615
1920-06-23,49,29108
1920-06-24,30,18669
1920-06-25,34,16941
1920-06-26,94,19717
1920-06-27,95,18273
1920-06-28,90,18807
1920-06-29,79,17883
1920-06-30,38,27230
1920-07-01,69,18052
1920-07-02,72,19089
1920-07-03,90,18802
1920-07-04,28,17530
1920-07-05,80,18543
1920-07-06,69,18301
1920-07-07,35,27453
1920-07-08,37,18470
1920-07-09,36,24293
1920-07-10,28,17843
1920-07-11,57,18699
1920-07-12,27,19355
1920-07-13,61,18599
1920-07-14,55,18419
1920-07-15,63,17639
1920-07-16,41,17670
1920-07-17,80,16821
1920-07-18,79,17778
1920-07-19,55,17750
1920-07-20,68,18792
1920-07-21,51,19430
1920-07-22,60,17946
1920-07-23,51,18106
1920-07-24,67,18903
1920-07-25,57,18402
1920-07-26,67,19250
1920-07-27,37,19185
1920-07-28,61,17667
1920-07-29,59,18129
1920-07-30,67,18149
1920-07-31,43,17994
1920-08-01,42,18542
1920-08-02,75,19347
1920-08-03,18,18795
1920-08-04,46,16616
1920-08-05,25,16988
1920-08-06,53,17603
1920-08-07,91,18022
1920-08-08,98,17404
1920-08-09,52,18634
1920-08-10,62,18095
1920-08-11,70,18236
1920-08-12,47,18177
1920-08-13,106,18871
1920-08-14,74,18415
1920-08-15,58,18502
1920-08-16,81,18943
1920-08-17,76,19953
1920-08-18,42,18393
1920-08-19,44,18261
1920-08-20,45,19025
1920-08-21,84,18585
1920-08-22,43,18706
1920-08-23,47,19117
1920-08-24,53,18435
1920-08-25,50,18563
1920-08-26,83,17984
1920-08-27,49,18858
1920-08-28,86,18540
1920-08-29,63,18131
1920-08-30,57,19816
1920-08-31,77,18594
1920-09-01,35,16413
1920-09-02,85,17661
1920-09-03,54,16889
1920-09-04,57,15517
1920-09-05,78,18885
1920-09-06,104,19544
1920-09-07,87,18489
1920-09-08,52,18889
1920-09-09,57,17816
1920-09-10,58,18464
1920-09-11,40,16942
1920-09-12,58,16304
1920-09-13,89,18949
1920-09-14,75,17784
1920-09-15,65,17519
1920-09-16,65,17387
1920-09-17,35,17738
1920-09-18,59,15648
1920-09-19,59,17059
1920-09-20,69,18014
1920-09-21,46,17467
1920-09-22,67,16252
1920-09-23,58,18906
1920-09-24,44,27827
1920-09-25,44,15638
1920-09-26,109,17800
1920-09-27,38,18694
1920-09-28,76,18237
1920-09-29,25,16563
1920-09-30,42,18021
1920-10-01,40,17562
1920-10-02,64,16304
1920-10-03,62,16301
1920-10-04,40,16871
1920-10-05,54,16981
1920-10-06,58,16677
1920-10-07,73,17030
1920-10-08,53,15720
1920-10-09,33,16955
1920-10-10,92,17267
1920-10-11,80,18927
1920-10-12,39,17462
1920-10-13,31,27690
1920-10-14,51,18135
1920-10-15,61,17684
1920-10-16,45,15254
1920-10-17,72,15685
1920-10-18,54,16563
1920-10-19,80,16670
1920-10-20,35,25276
1920-10-21,70,17998
1920-10-22,64,17402
1920-10-23,63,16349
1920-10-24,127,17331
1920-10-25,30,18374
1920-10-26,80,19805
1920-10-27,36,27806
1920-10-28,61,17699
1920-10-29,63,17149
1920-10-30,65,16984
1920-10-31,98,17023
1920-11-01,59,18632
1920-11-02,76,18272
1920-11-03,53,18073
1920-11-04,50,17646
1920-11-05,69,15817
1920-11-06,47,17049
1920-11-07,86,17023
1920-11-08,54,18060
1920-11-09,78,17438
1920-11-10,23,28526
1920-11-11,52,17091
1920-11-12,69,28188
1920-11-13,46,16341
1920-11-14,53,16580
1920-11-15,63,16974
1920-11-16,79,17396
1920-11-17,35,25236
1920-11-18,51,17686
1920-11-19,38,16862
1920-11-20,46,16547
1920-11-21,34,16282
1920-11-22,83,17204
1920-11-23,31,17726
1920-11-24,81,26847
1920-11-25,70,16552
1920-11-26,46,17923
1920-11-27,88,16340
1920-11-28,78,17897
1920-11-29,49,17691
1920-11-30,41,17955
1920-12-01,76,28170
1920-12-02,78,18064
1920-12-03,34,17428
1920-12-04,96,16121
1920-12-05,62,16906
1920-12-06,81,17617
1920-12-07,36,18278
1920-12-08,45,28738
1920-12-09,66,17649
1920-12-10,91,16295
1920-12-11,74,17659
1920-12-12,91,19141
1920-12-13,74,18342
1920-12-14,58,19560
1920-12-15,43,28474
1920-12-16,63,16480
1920-12-17,39,17570
1920-12-18,59,18775
1920-12-19,47,17578
1920-12-20,29,17553
1920-12-21,83,17963
1920-12-22,47,29026
1920-12-23,62,17312
1920-12-24,38,18152
1920-12-25,135,17967
1920-12-26,73,18459
1920-12-27,35,17688
1920-12-28,88,17657
1920-12-29,35,23795
1920-12-30,41,17091
1920-12-31,52,18143
