Date,Number of dates,length
1876-01-01,24,17335
1876-01-02,61,15631
1876-01-03,24,19808
1876-01-04,42,19107
1876-01-05,36,20067
1876-01-06,45,18810
1876-01-07,35,18728
1876-01-08,33,19488
1876-01-09,54,18413
1876-01-10,32,18461
1876-01-11,42,19284
1876-01-12,65,19392
1876-01-13,40,16806
1876-01-14,61,19158
1876-01-15,26,18944
1876-01-16,41,17960
1876-01-17,21,19594
1876-01-18,49,18959
1876-01-19,37,17531
1876-01-20,38,18520
1876-01-21,70,18816
1876-01-22,71,18505
1876-01-23,17,17347
1876-01-24,22,17593
1876-01-25,46,17650
1876-01-26,42,17587
1876-01-27,27,17818
1876-01-28,27,17263
1876-01-29,35,15370
1876-01-30,27,13601
1876-01-31,38,11706
1876-02-01,60,19692
1876-02-02,22,19213
1876-02-03,21,18778
1876-02-04,32,18167
1876-02-05,39,18114
1876-02-06,44,10394
1876-02-07,10,9872
1876-02-08,37,18390
1876-02-09,20,9375
1876-02-10,46,19374
1876-02-11,19,10261
1876-02-12,33,20902
1876-02-13,28,10110
1876-02-14,51,19957
1876-02-15,42,18734
1876-02-16,14,9563
1876-02-17,26,9322
1876-02-18,39,18732
1876-02-19,59,18054
1876-02-20,27,16369
1876-02-21,34,14587
1876-02-22,26,12224
1876-02-23,49,18246
1876-02-24,58,18519
1876-02-25,22,17772
1876-02-26,53,12584
1876-02-27,39,18429
1876-02-28,39,18519
1876-02-29,71,19582
1876-03-01,36,18306
1876-03-02,75,18940
1876-03-03,66,19035
1876-03-04,33,17209
1876-03-05,31,17489
1876-03-06,44,16149
1876-03-07,28,15010
1876-03-08,80,18271
1876-03-09,42,19304
1876-03-10,30,16066
1876-03-11,25,14377
1876-03-12,67,16438
1876-03-13,60,16374
1876-03-14,54,18001
1876-03-15,44,19822
1876-03-16,54,19180
1876-03-17,50,17096
1876-03-18,42,18287
1876-03-19,34,15951
1876-03-20,31,9776
1876-03-21,58,17491
1876-03-22,54,18156
1876-03-23,38,17717
1876-03-24,68,18521
1876-03-25,36,18968
1876-03-26,21,18865
1876-03-27,38,19203
1876-03-28,33,19276
1876-03-29,46,19457
1876-03-30,20,17938
1876-03-31,54,18714
1876-04-01,15,16103
1876-04-02,33,16945
1876-04-03,17,15686
1876-04-04,31,17157
1876-04-05,29,18498
1876-04-06,44,18078
1876-04-07,36,18954
1876-04-08,29,17133
1876-04-09,26,15519
1876-04-10,36,17967
1876-04-11,39,16842
1876-04-12,37,18319
1876-04-13,36,18926
1876-04-14,55,17348
1876-04-15,56,19115
1876-04-16,36,17191
1876-04-17,19,18162
1876-04-19,50,21226
1876-04-20,34,18743
1876-04-21,37,17845
1876-04-22,36,17826
1876-04-23,42,15101
1876-04-24,30,19426
1876-04-25,30,19063
1876-04-26,23,18266
1876-04-27,66,18769
1876-04-28,21,17823
1876-04-29,48,17956
1876-04-30,27,17154
1876-05-01,37,16696
1876-05-02,33,18102
1876-05-03,67,19632
1876-05-04,26,19005
1876-05-05,37,18108
1876-05-06,71,17896
1876-05-07,34,18628
1876-05-08,59,20778
1876-05-09,15,18113
1876-05-10,43,19672
1876-05-11,19,19197
1876-05-12,28,11829
1876-05-13,59,18924
1876-05-14,19,17014
1876-05-15,25,18063
1876-05-16,16,17781
1876-05-17,38,19555
1876-05-18,66,19240
1876-05-19,45,19253
1876-05-20,23,19393
1876-05-21,23,17080
1876-05-22,65,19327
1876-05-23,43,19095
1876-05-24,20,18554
1876-05-25,39,19773
1876-05-26,16,18494
1876-05-27,20,18559
1876-05-28,49,17452
1876-05-29,38,18117
1876-05-30,58,17792
1876-05-31,16,18824
1876-06-01,57,19451
1876-06-02,32,19788
1876-06-03,42,17746
1876-06-04,34,29076
1876-06-05,17,18083
1876-06-06,40,18812
1876-06-07,29,19450
1876-06-08,40,19363
1876-06-09,24,18393
1876-06-10,48,17034
1876-06-11,32,7818
1876-06-12,88,20024
1876-06-13,44,15643
1876-06-14,50,18767
1876-06-15,29,17954
1876-06-16,20,19090
1876-06-17,23,18439
1876-06-18,30,19101
1876-06-19,34,20171
1876-06-20,35,18366
1876-06-21,33,18820
1876-06-22,13,18118
1876-06-23,24,19773
1876-06-24,38,19061
1876-06-25,25,18249
1876-06-26,27,19293
1876-06-27,35,19310
1876-06-28,37,20089
1876-06-29,32,20986
1876-06-30,26,18849
1876-07-01,22,18301
1876-07-02,24,18887
1876-07-03,33,19089
1876-07-04,20,19151
1876-07-05,45,18902
1876-07-06,35,17558
1876-07-07,56,19113
1876-07-08,65,19390
1876-07-09,30,18774
1876-07-10,35,19638
1876-07-11,27,18454
1876-07-12,19,19669
1876-07-13,24,19995
1876-07-14,24,19364
1876-07-15,28,18993
1876-07-16,21,17848
1876-07-17,30,19906
1876-07-18,36,18896
1876-07-19,49,19639
1876-07-20,36,19350
1876-07-21,64,20355
1876-07-22,39,19106
1876-07-23,27,20667
1876-07-24,33,21217
1876-07-25,26,20008
1876-07-26,40,19945
1876-07-27,29,19599
1876-07-28,37,20070
1876-07-29,53,20448
1876-07-30,26,20036
1876-07-31,29,19471
1876-08-01,39,19951
1876-08-02,42,19298
1876-08-03,29,18769
1876-08-04,27,20457
1876-08-05,39,19230
1876-08-06,29,19735
1876-08-07,34,18822
1876-08-08,36,19867
1876-08-09,27,20426
1876-08-10,28,19817
1876-08-11,20,19267
1876-08-12,18,18998
1876-08-13,62,21016
1876-08-14,31,20032
1876-08-15,40,19930
1876-08-16,36,19055
1876-08-17,35,20572
1876-08-18,45,19372
1876-08-19,23,19288
1876-08-20,40,19763
1876-08-21,40,21129
1876-08-22,47,20080
1876-08-23,38,20810
1876-08-24,35,20176
1876-08-25,48,20540
1876-08-26,38,19020
1876-08-27,23,19777
1876-08-28,40,20401
1876-08-29,28,19381
1876-08-30,55,18671
1876-08-31,32,16612
1876-09-01,39,20698
1876-09-02,33,18892
1876-09-03,33,19317
1876-09-04,41,19874
1876-09-05,29,20027
1876-09-06,36,19755
1876-09-07,47,20956
1876-09-08,36,20042
1876-09-09,31,20311
1876-09-10,24,19435
1876-09-11,27,18739
1876-09-12,33,20804
1876-09-13,39,20306
1876-09-14,34,19760
1876-09-15,30,19823
1876-09-16,42,18475
1876-09-17,57,20596
1876-09-18,15,17490
1876-09-19,31,19928
1876-09-20,34,19695
1876-09-21,41,18414
1876-09-25,40,19391
1876-09-26,25,19807
1876-09-27,35,19187
1876-09-28,40,19172
1876-09-29,56,20200
