Date,Number of dates,length
1919-01-01,71,9846
1919-01-02,46,18763
1919-01-03,51,9858
1919-01-04,46,17999
1919-01-05,73,18776
1919-01-06,58,10084
1919-01-07,46,18996
1919-01-08,53,10100
1919-01-09,37,18550
1919-01-10,48,9939
1919-01-11,44,17837
1919-01-12,59,19283
1919-01-13,51,10287
1919-01-14,39,18623
1919-01-15,40,9721
1919-01-16,33,18119
1919-01-17,74,9847
1919-01-18,55,16841
1919-01-19,69,15831
1919-01-20,53,9996
1919-01-21,35,18412
1919-01-22,41,18077
1919-01-23,45,10070
1919-01-24,20,17595
1919-01-25,30,17221
1919-01-26,80,16887
1919-01-27,47,9885
1919-01-28,53,18157
1919-01-29,61,17892
1919-01-30,78,10248
1919-01-31,42,16297
1919-02-01,38,19057
1919-02-02,57,19392
1919-02-03,63,9745
1919-02-04,34,19451
1919-02-05,15,17895
1919-02-06,43,10301
1919-02-07,37,16944
1919-02-08,35,18269
1919-02-09,33,18468
1919-02-10,58,10372
1919-02-11,54,18491
1919-02-12,32,18355
1919-02-13,93,9812
1919-02-14,39,17810
1919-02-15,57,16969
1919-02-16,41,17570
1919-02-17,60,10170
1919-02-18,34,18875
1919-02-19,48,18939
1919-02-20,62,10095
1919-02-21,39,16861
1919-02-22,58,18084
1919-02-23,69,18375
1919-02-24,51,10023
1919-02-25,58,18301
1919-02-26,42,18114
1919-02-27,47,9576
1919-02-28,56,15729
1919-03-01,62,16274
1919-03-02,66,16887
1919-03-03,76,9840
1919-03-04,55,18124
1919-03-05,28,18010
1919-03-06,87,10014
1919-03-07,40,17433
1919-03-08,43,18446
1919-03-09,69,16950
1919-03-10,62,9940
1919-03-11,58,17549
1919-03-12,45,17414
1919-03-13,86,9855
1919-03-14,30,17344
1919-03-15,49,16757
1919-03-16,22,28638
1919-03-17,48,10366
1919-03-18,58,17044
1919-03-19,69,18073
1919-03-20,72,17904
1919-03-21,49,17237
1919-03-22,60,18145
1919-03-23,38,27537
1919-03-24,48,9897
1919-03-25,51,17650
1919-03-26,58,18407
1919-03-27,45,18552
1919-03-28,31,17517
1919-03-29,40,18259
1919-03-30,58,28935
1919-03-31,61,9467
1919-04-01,56,17219
1919-04-02,43,16870
1919-04-03,65,17946
1919-04-04,56,18601
1919-04-05,30,16452
1919-04-06,56,25935
1919-04-07,46,9761
1919-04-08,32,17449
1919-04-09,50,17521
1919-04-10,57,18488
1919-04-11,43,18053
1919-04-12,58,18558
1919-04-13,69,28656
1919-04-14,35,19819
1919-04-15,36,18037
1919-04-16,46,18944
1919-04-17,45,20363
1919-04-18,30,18252
1919-04-19,53,19075
1919-04-20,44,28303
1919-04-21,102,9885
1919-04-22,83,17738
1919-04-23,44,16860
1919-04-24,33,18586
1919-04-25,30,16244
1919-04-26,34,17560
1919-04-27,77,28981
1919-04-28,41,10353
1919-04-29,58,16625
1919-04-30,28,18846
1919-05-02,83,16941
1919-05-03,71,17371
1919-05-04,100,27313
1919-05-05,62,10132
1919-05-06,42,18030
1919-05-07,65,18682
1919-05-08,78,18124
1919-05-09,42,18525
1919-05-10,44,17810
1919-05-11,32,28817
1919-05-12,66,10814
1919-05-13,28,18296
1919-05-14,52,17286
1919-05-15,49,19005
1919-05-16,58,18650
1919-05-17,53,16951
1919-05-18,102,28176
1919-05-19,48,10488
1919-05-20,34,17689
1919-05-21,39,18195
1919-05-22,56,17967
1919-05-23,54,18659
1919-05-24,54,18263
1919-05-25,86,28589
1919-05-26,51,10367
1919-05-27,44,17240
1919-05-28,42,18073
1919-05-29,47,18962
1919-05-30,59,18755
1919-05-31,37,18156
1919-06-01,37,27546
1919-06-02,63,10428
1919-06-03,50,17744
1919-06-04,44,18834
1919-06-05,56,18385
1919-06-06,36,17188
1919-06-07,56,18569
1919-06-08,52,29867
1919-06-09,80,9860
1919-06-10,63,17410
1919-06-11,44,18084
1919-06-12,42,19042
1919-06-13,56,17547
1919-06-14,43,16980
1919-06-15,101,28194
1919-06-16,72,10066
1919-06-17,59,19066
1919-06-18,46,16909
1919-06-19,46,19311
1919-06-20,33,17963
1919-06-21,50,17926
1919-06-22,45,27776
1919-06-23,35,19581
1919-06-24,43,18096
1919-06-25,26,17722
1919-06-26,72,17540
1919-06-27,58,17967
1919-06-28,63,16846
1919-06-29,25,27746
1919-06-30,48,18627
1919-07-01,44,18920
1919-07-02,34,16575
1919-07-03,35,18153
1919-07-04,31,17702
1919-07-05,31,19373
1919-07-06,39,19326
1919-07-07,53,18839
1919-07-08,48,18893
1919-07-09,58,18251
1919-07-10,38,19321
1919-07-11,94,17855
1919-07-12,57,19073
1919-07-13,63,18493
1919-07-14,64,19848
1919-07-15,32,18522
1919-07-16,51,18700
1919-07-17,66,18837
1919-07-18,48,19137
1919-07-19,65,17314
1919-07-20,57,18632
1919-07-21,51,18500
1919-07-22,30,18477
1919-07-23,46,18809
1919-07-24,47,18429
1919-07-25,50,19732
1919-07-26,45,18578
1919-07-27,63,16419
1919-07-28,28,19076
1919-07-29,49,18757
1919-07-30,28,17617
1919-07-31,47,18169
1919-08-01,37,17874
1919-08-02,31,18843
1919-08-03,46,16243
1919-08-04,57,18204
1919-08-05,50,18879
1919-08-06,41,17953
1919-08-07,42,20552
1919-08-08,50,18132
1919-08-09,54,18218
1919-08-10,75,18036
1919-08-11,47,18606
1919-08-12,29,19186
1919-08-13,37,18319
1919-08-14,56,18670
1919-08-15,84,17677
1919-08-16,68,18644
1919-08-17,67,19387
1919-08-18,38,19417
1919-08-19,56,17542
1919-08-20,56,18055
1919-08-21,44,18323
1919-08-22,47,18347
1919-08-23,72,18463
1919-08-24,50,18133
1919-08-25,47,20323
1919-08-26,34,19183
1919-08-27,30,18265
1919-08-28,25,20080
1919-08-29,56,19342
1919-08-30,55,19698
1919-08-31,52,17533
1919-09-01,36,19568
1919-09-02,64,17511
1919-09-03,26,18317
1919-09-04,30,18919
1919-09-05,55,18829
1919-09-06,47,17700
1919-09-07,44,17982
1919-09-08,51,20432
1919-09-09,54,18627
1919-09-10,60,17758
1919-09-11,59,17548
1919-09-12,60,19404
1919-09-13,78,18566
1919-09-14,49,18260
1919-09-15,48,18858
1919-09-16,48,18329
1919-09-17,41,18784
1919-09-18,27,19155
1919-09-19,45,18718
1919-09-20,43,18364
1919-09-21,41,16880
1919-09-22,47,19808
1919-09-23,61,17751
1919-09-24,45,18604
1919-09-25,46,19003
1919-09-26,40,19525
1919-09-27,38,17441
1919-09-28,88,16856
1919-09-29,52,16807
1919-09-30,31,17642
1919-10-01,53,18335
1919-10-02,98,19053
1919-10-03,47,17470
1919-10-04,77,18151
1919-10-05,55,16999
1919-10-06,60,16870
1919-10-07,71,18896
1919-10-08,60,17316
1919-10-09,85,13710
1919-10-10,39,16953
1919-10-11,62,17936
1919-10-12,78,16749
1919-10-13,53,30924
1919-10-14,77,17293
1919-10-15,39,16976
1919-10-16,70,18689
1919-10-17,38,17138
1919-10-18,64,16965
1919-10-19,62,16759
1919-10-20,45,18133
1919-10-21,44,18385
1919-10-22,56,18205
1919-10-23,62,19612
1919-10-24,41,17828
1919-10-25,48,17662
1919-10-26,80,18561
1919-10-27,63,18633
1919-10-28,39,19099
1919-10-29,29,18812
1919-10-30,51,18868
1919-10-31,62,18362
1919-11-01,84,18788
1919-11-02,66,17730
1919-11-03,73,19539
1919-11-04,69,18109
1919-11-05,30,17479
1919-11-06,61,19556
1919-11-07,62,18865
1919-11-08,69,17934
1919-11-09,41,18924
1919-11-10,82,17207
1919-12-02,72,17317
1919-12-03,51,17220
1919-12-04,42,17271
1919-12-05,32,17450
1919-12-06,52,16898
1919-12-07,112,17828
1919-12-08,67,17880
1919-12-09,43,18194
1919-12-10,68,16929
1919-12-11,35,18726
1919-12-12,60,17898
1919-12-13,79,18021
1919-12-14,95,17294
1919-12-15,57,17970
1919-12-16,56,17118
1919-12-17,73,17890
1919-12-18,75,18465
1919-12-19,46,16920
1919-12-20,80,18795
1919-12-21,45,17415
1919-12-22,90,18197
1919-12-23,52,16626
1919-12-24,43,17005
1919-12-25,63,19000
1919-12-26,64,18775
1919-12-27,63,17572
1919-12-28,67,17309
1919-12-29,61,17569
1919-12-30,73,18058
1919-12-31,54,17858
