Date,Number of dates,length
1883-01-01,51,18632
1883-01-02,44,14644
1883-01-03,43,37949
1883-01-04,58,19397
1883-01-05,60,17959
1883-01-06,38,19174
1883-01-07,69,18527
1883-01-08,24,19579
1883-01-09,26,20208
1883-01-10,28,38971
1883-01-11,77,19759
1883-01-12,32,19945
1883-01-13,38,19741
1883-01-14,62,19395
1883-01-15,58,20724
1883-01-16,33,19172
1883-01-17,53,40247
1883-01-18,69,18968
1883-01-19,43,19862
1883-01-20,38,19079
1883-01-21,33,20087
1883-01-22,46,20551
1883-01-23,33,18839
1883-01-24,39,39210
1883-01-25,29,19931
1883-01-26,32,19467
1883-01-27,37,17388
1883-01-28,24,17748
1883-01-29,36,19076
1883-01-30,40,19475
1883-01-31,28,38734
1883-02-01,47,20138
1883-02-02,39,20361
1883-02-03,36,19351
1883-02-04,53,19637
1883-02-05,39,19822
1883-02-06,50,19731
1883-02-07,43,38031
1883-02-08,32,19664
1883-02-09,32,19029
1883-02-10,45,18989
1883-02-11,32,17185
1883-02-12,28,18899
1883-02-13,64,19994
1883-02-14,32,37485
1883-02-15,54,20463
1883-02-16,41,18818
1883-02-17,62,19464
1883-02-18,57,20257
1883-02-19,31,19361
1883-02-20,33,20097
1883-02-21,51,40575
1883-02-22,39,19965
1883-02-23,37,20945
1883-02-24,11,19491
1883-02-25,51,19461
1883-02-26,60,20540
1883-02-27,45,19581
1883-02-28,37,42549
1883-03-01,33,19646
1883-03-02,26,18104
1883-03-03,71,19821
1883-03-04,35,14470
1883-03-05,27,5983
1883-03-06,23,19978
1883-03-07,51,39677
1883-03-08,31,21210
1883-03-09,35,18785
1883-03-10,43,18720
1883-03-11,62,15928
1883-03-12,55,17763
1883-03-13,27,20697
1883-03-14,58,38894
1883-03-15,25,18806
1883-03-16,29,21184
1883-03-17,42,20079
1883-03-18,43,18792
1883-03-19,47,18493
1883-03-20,60,19135
1883-03-21,34,37149
1883-03-22,42,19937
1883-03-23,54,20533
1883-03-24,13,19338
1883-03-25,50,20436
1883-03-26,49,20081
1883-03-27,24,19711
1883-03-28,52,38120
1883-03-29,55,19223
1883-03-30,37,19619
1883-03-31,34,18886
1883-04-01,51,18331
1883-04-02,37,19829
1883-04-03,43,19628
1883-04-04,45,39495
1883-04-05,50,18252
1883-04-06,51,20772
1883-04-07,38,18444
1883-04-08,36,18903
1883-04-09,53,19102
1883-04-10,42,19554
1883-04-11,24,38352
1883-04-12,36,19407
1883-04-13,41,19488
1883-04-14,32,19041
1883-04-15,51,21172
1883-04-16,24,19539
1883-04-17,34,19097
1883-04-18,56,38565
1883-04-19,49,19248
1883-04-20,81,20723
1883-04-21,33,19894
1883-04-22,39,19552
1883-04-23,35,19428
1883-04-24,80,20302
1883-04-25,59,38472
1883-04-26,48,18586
1883-04-27,52,20595
1883-04-28,28,18828
1883-04-29,58,18295
1883-04-30,51,20126
1883-05-01,32,17941
1883-05-02,43,43046
1883-05-03,27,18483
1883-05-04,28,20514
1883-05-05,40,19467
1883-05-06,54,18882
1883-05-07,26,18910
1883-05-08,55,18896
1883-05-09,24,38425
1883-05-10,50,21008
1883-05-11,29,19423
1883-05-12,33,20242
1883-05-13,32,19921
1883-05-14,52,19748
1883-05-15,42,20122
1883-05-16,27,39615
1883-05-17,35,21120
1883-05-18,41,20873
1883-05-19,30,21103
1883-05-20,30,20888
1883-05-21,41,20490
1883-05-22,29,20896
1883-05-23,37,37200
1883-05-24,23,19101
1883-05-25,42,21071
1883-05-26,61,20558
1883-05-27,38,21191
1883-05-28,28,22369
1883-05-29,30,20577
1883-05-30,65,44967
1883-05-31,36,21049
1883-06-01,51,18651
1883-06-02,16,18637
1883-06-03,36,19076
1883-06-04,39,18584
1883-06-05,39,19680
1883-06-06,50,39699
1883-06-07,22,19606
1883-06-08,38,19056
1883-06-09,52,20584
1883-06-10,62,19593
1883-06-11,49,19774
1883-06-12,41,19607
1883-06-13,28,39863
1883-06-14,38,20161
1883-06-15,36,20244
1883-06-16,34,20079
1883-06-17,31,20215
1883-06-18,26,20609
1883-06-19,28,20623
1883-06-20,16,40205
1883-06-21,29,20898
1883-06-22,31,19625
1883-06-23,37,19847
1883-06-24,35,19122
1883-06-25,33,20734
1883-06-26,37,20877
1883-06-27,58,39860
1883-06-28,42,20038
1883-06-29,38,20563
1883-06-30,31,19709
1883-07-01,43,20006
1883-07-02,23,21501
1883-07-03,40,19228
1883-07-04,45,36985
1883-07-05,23,20420
1883-07-06,40,20921
1883-07-07,29,19496
1883-07-08,47,19624
1883-07-09,29,21054
1883-07-10,45,21043
1883-07-11,33,37514
1883-07-12,33,20346
1883-07-13,55,19978
1883-07-14,28,20493
1883-07-15,41,20757
1883-07-16,39,21289
1883-07-17,50,20566
1883-07-18,38,39649
1883-07-19,41,21105
1883-07-20,42,20750
1883-07-21,24,20780
1883-07-22,56,20735
1883-07-23,34,20428
1883-07-24,30,20929
1883-07-25,45,41016
1883-07-26,45,19569
1883-07-27,44,19601
1883-07-28,45,21795
1883-07-29,38,20290
1883-07-30,29,20368
1883-07-31,36,19361
1883-08-01,35,37701
1883-08-02,32,20004
1883-08-03,39,20523
