Date,Number of dates,length
1891-01-01,48,18294
1891-01-02,27,19010
1891-01-03,32,19362
1891-01-04,40,18566
1891-01-05,49,17982
1891-01-06,53,19634
1891-01-07,39,39071
1891-01-08,39,19474
1891-01-09,75,19367
1891-01-10,26,20163
1891-01-11,38,18236
1891-01-12,46,20966
1891-01-13,64,17317
1891-01-14,43,37758
1891-01-15,28,18590
1891-01-16,49,18538
1891-01-17,56,19255
1891-01-18,54,18768
1891-01-19,47,19311
1891-01-20,53,17591
1891-01-21,38,37066
1891-01-22,24,18740
1891-01-23,66,18323
1891-01-24,56,19471
1891-01-25,33,18989
1891-01-26,44,18878
1891-01-27,59,18488
1891-01-28,45,36641
1891-01-29,27,17694
1891-01-30,46,18218
1891-01-31,32,17966
1891-02-01,33,14419
1891-02-02,19,18972
1891-02-03,40,18801
1891-02-04,37,36444
1891-02-05,56,19047
1891-02-06,42,18549
1891-02-07,35,18909
1891-02-08,52,19256
1891-02-09,76,19897
1891-02-10,46,19471
1891-02-11,62,38451
1891-02-12,18,19413
1891-02-13,41,17527
1891-02-14,43,19748
1891-02-15,53,15982
1891-02-16,28,17284
1891-02-17,29,19428
1891-02-18,57,37826
1891-02-20,41,20186
1891-02-21,29,19605
1891-02-22,29,18703
1891-02-23,43,19623
1891-02-24,39,19428
1891-02-25,42,36612
1891-02-26,55,17014
1891-02-27,56,19099
1891-02-28,48,18899
1891-03-01,26,13608
1891-03-02,28,19189
1891-03-22,43,16563
1891-04-08,34,37178
1891-04-12,54,20546
1891-04-13,23,20847
1891-04-14,52,21158
1891-04-15,55,37076
1891-04-16,23,18094
1891-04-17,58,18481
1891-04-18,46,20348
1891-04-26,46,18895
1891-04-27,22,18529
1891-04-30,18,18559
1891-05-05,39,19928
1891-05-07,22,20000
1891-05-24,44,19711
1891-06-18,48,20076
1891-06-20,40,20579
1891-06-21,37,18078
1891-06-22,40,20766
1891-06-23,28,18086
1891-07-27,35,20707
1891-11-01,41,20208
1891-12-10,24,19725
1891-12-11,42,20278
1891-12-12,50,19447
1891-12-13,36,14784
1891-12-14,59,20096
1891-12-15,25,18627
1891-12-16,23,36925
1891-12-17,30,17542
1891-12-18,39,19524
1891-12-19,48,17925
1891-12-20,45,18082
1891-12-21,41,18219
1891-12-22,72,19641
1891-12-23,36,38449
1891-12-24,27,19700
1891-12-25,37,18440
1891-12-26,35,20381
1891-12-27,37,17686
1891-12-28,42,19160
