Date,Number of dates,length
1899-01-01,50,28049
1899-01-02,63,28412
1899-01-03,35,25510
1899-01-04,50,28044
1899-01-05,45,27128
1899-01-06,60,29102
1899-01-07,49,21761
1899-01-08,53,24560
1899-01-09,44,27998
1899-01-10,32,28627
1899-01-11,40,26199
1899-01-12,47,26742
1899-01-13,46,28829
1899-01-14,46,25573
1899-01-15,47,27522
1899-01-16,52,26667
1899-01-17,53,28002
1899-01-18,32,24749
1899-01-19,30,24732
1899-01-20,43,29133
1899-01-21,67,25406
1899-01-22,49,24872
1899-01-23,36,25770
1899-01-24,30,29110
1899-01-25,55,24788
1899-01-26,34,24675
1899-01-27,44,27663
1899-01-28,43,23874
1899-01-29,64,21684
1899-01-30,22,24767
1899-01-31,50,27862
1899-02-01,34,22425
1899-02-02,53,25402
1899-02-03,25,27195
1899-02-04,47,24700
1899-02-05,28,26046
1899-02-06,39,25760
1899-02-07,41,26104
1899-02-08,59,24631
1899-02-09,66,32278
1899-02-10,37,24363
1899-02-11,56,25310
1899-02-12,39,26969
1899-02-13,41,27914
1899-02-14,21,27641
1899-02-15,47,24081
1899-02-16,34,25870
1899-02-17,39,27236
1899-02-18,45,26761
1899-02-19,57,23375
1899-02-20,46,26194
1899-02-21,36,27300
1899-02-22,51,23061
1899-02-23,49,26417
1899-02-24,44,30013
1899-02-25,40,23561
1899-02-26,89,25882
1899-02-27,29,25622
1899-02-28,39,26634
1899-03-01,41,20915
1899-03-02,34,24052
1899-03-03,41,28594
1899-03-04,72,23836
1899-03-05,32,21506
1899-03-06,51,26563
1899-03-07,56,27273
1899-03-08,33,24393
1899-03-09,45,25239
1899-03-10,36,28203
1899-03-11,21,24370
1899-03-12,74,25749
1899-03-13,31,25830
1899-03-14,50,27158
1899-03-15,33,23178
1899-03-16,44,25081
1899-03-17,46,27806
1899-03-18,49,22322
1899-03-19,72,21822
1899-03-20,40,25745
1899-03-21,44,28881
1899-03-22,27,22373
1899-03-23,42,24841
1899-03-24,35,28467
1899-03-25,30,24136
1899-03-26,56,26594
1899-03-27,40,25991
1899-03-28,73,27785
1899-03-29,64,25100
1899-03-30,43,27223
1899-03-31,45,28904
1899-04-01,36,24333
1899-04-02,58,27270
1899-04-03,48,25853
1899-04-04,56,29464
1899-04-05,44,25415
1899-04-06,24,27361
1899-04-07,43,28884
1899-04-08,57,25252
1899-04-09,49,25596
1899-04-10,57,26948
1899-04-11,35,27143
1899-04-12,60,24268
1899-04-13,39,25795
1899-04-14,63,27285
1899-04-15,43,24047
1899-04-16,42,28067
1899-04-17,48,28161
1899-04-18,58,27374
1899-04-19,39,21539
1899-04-20,32,24935
1899-04-21,22,28782
1899-04-22,64,21263
1899-04-23,42,27049
1899-04-24,55,26062
1899-04-25,44,27603
1899-04-26,61,23360
1899-04-27,37,24290
1899-04-28,50,28709
1899-04-29,41,25733
1899-04-30,8,17626
1899-05-01,37,26062
1899-05-02,36,26735
1899-05-03,68,22633
1899-05-04,38,27195
1899-05-05,70,28463
1899-05-06,37,24871
1899-05-07,77,25977
1899-05-08,22,25120
1899-05-09,29,29601
1899-05-10,30,24968
1899-05-11,30,25981
1899-05-12,20,29314
1899-05-13,33,26123
1899-05-14,65,27656
1899-05-15,32,27162
1899-05-16,42,28905
1899-05-17,40,26143
1899-05-18,72,25833
1899-05-19,63,29125
1899-05-20,66,23482
1899-05-21,53,28236
1899-05-22,40,26078
1899-05-23,42,30422
1899-05-24,38,23040
1899-05-25,40,28660
1899-05-26,45,27433
1899-05-27,41,25907
1899-05-28,90,25697
1899-05-29,31,28241
1899-05-30,50,28362
1899-05-31,30,26545
1899-06-01,27,32517
1899-06-02,46,27870
1899-06-03,47,25191
1899-06-04,59,25358
1899-06-05,46,29782
1899-06-06,46,25700
1899-06-07,52,25490
1899-06-08,59,25927
1899-06-09,61,27661
1899-06-10,47,24797
1899-06-11,50,27335
1899-06-12,39,26686
1899-06-13,67,28335
1899-06-14,36,25624
1899-06-15,66,25969
1899-06-16,37,28472
1899-06-17,52,24880
1899-06-18,40,25860
1899-06-19,52,25806
1899-06-20,31,26300
1899-06-21,40,25562
1899-06-22,47,25212
1899-06-23,21,26538
1899-06-24,40,23805
1899-06-25,39,24775
1899-06-26,25,25562
1899-06-27,51,26887
1899-06-28,40,26714
1899-06-29,55,25200
1899-06-30,36,26707
1899-07-01,65,23981
1899-07-02,48,27085
1899-07-03,56,27892
1899-07-04,28,27037
1899-07-05,29,24258
1899-07-06,51,27314
1899-07-07,58,28831
1899-07-08,43,25821
1899-07-09,65,28067
1899-07-10,43,28212
1899-07-11,32,25635
1899-07-12,54,27654
1899-07-13,62,26447
1899-07-14,40,27571
1899-07-15,51,26820
1899-07-16,30,27926
1899-07-17,48,28270
1899-07-18,25,27562
1899-07-19,26,26847
1899-07-20,84,26253
1899-07-21,47,28338
1899-07-22,97,23831
1899-07-23,50,28160
1899-07-24,48,28240
1899-07-25,47,26910
1899-07-26,41,26758
1899-07-27,34,26626
1899-07-28,50,27760
1899-07-29,48,23804
1899-07-30,71,28727
1899-07-31,35,26661
1899-08-01,81,28718
1899-08-02,22,28402
1899-08-03,39,26751
1899-08-04,56,26994
1899-08-05,19,26080
1899-08-06,49,28473
1899-08-07,31,25822
1899-08-08,86,32257
1899-08-09,73,27141
1899-08-10,34,25554
1899-08-11,70,28288
1899-08-12,41,23905
1899-08-13,68,28438
1899-08-14,52,27739
1899-08-15,35,27009
1899-08-16,37,29682
1899-08-17,35,25574
1899-08-18,34,25177
1899-08-19,45,21293
1899-08-20,42,28037
1899-08-21,54,27481
1899-08-22,71,28854
1899-08-23,44,32191
1899-08-24,55,30693
1899-08-25,37,24874
1899-08-26,29,28085
1899-08-27,97,27375
1899-08-28,25,28104
1899-08-29,28,30983
1899-08-30,25,26553
1899-08-31,28,13793
1899-09-01,34,28906
1899-09-02,30,20513
1899-09-03,71,24010
1899-09-04,40,28745
1899-09-05,44,27507
1899-09-06,31,24829
1899-09-07,31,26233
1899-09-08,30,29458
1899-09-09,23,24932
1899-09-10,44,28760
1899-09-11,36,28401
1899-09-12,40,30226
1899-09-13,44,27776
1899-09-14,33,27974
1899-09-15,52,28794
1899-09-16,57,25852
1899-09-17,35,22513
1899-09-18,40,27147
1899-09-19,46,28907
1899-09-20,56,27115
1899-09-21,52,24570
1899-09-22,46,28133
1899-09-23,53,23053
1899-09-24,47,27399
1899-09-25,41,28261
1899-09-26,47,28715
1899-09-27,45,26905
1899-09-28,62,27141
1899-09-29,59,24702
1899-09-30,26,21559
1899-10-01,45,20038
1899-10-02,63,26404
1899-10-03,40,28717
1899-10-04,41,23153
1899-10-05,38,25225
1899-10-06,43,28053
1899-10-07,48,24372
1899-10-08,47,27651
1899-10-09,44,28378
1899-10-10,52,29089
1899-10-11,51,23947
1899-10-12,34,26197
1899-10-13,44,26988
1899-10-14,39,23420
1899-10-15,31,27825
1899-10-16,45,28623
1899-10-17,58,28627
1899-10-18,71,25306
1899-10-19,37,28248
1899-10-20,46,28891
1899-10-21,45,24134
1899-10-22,47,25458
1899-10-23,37,27667
1899-10-24,46,28483
1899-10-25,67,24547
1899-10-26,54,26578
1899-10-27,41,28663
1899-10-28,52,24775
1899-10-29,42,29533
1899-10-30,27,27655
1899-10-31,39,27683
1899-11-01,41,25815
1899-11-02,36,28870
1899-11-03,38,27314
1899-11-04,38,24511
1899-11-05,50,21464
1899-11-06,46,27578
1899-11-07,36,29865
1899-11-08,55,24202
1899-11-09,45,26312
1899-11-10,52,30306
1899-11-11,37,26666
1899-11-12,38,28047
1899-11-13,20,25533
1899-11-14,32,28653
1899-11-15,37,27320
1899-11-16,52,27468
1899-11-17,38,28453
1899-11-18,45,26139
1899-11-19,65,28133
1899-11-20,37,26993
1899-11-21,26,27960
1899-11-22,45,26811
1899-11-23,23,27222
1899-11-24,31,28743
1899-11-25,51,25330
1899-11-26,36,25376
1899-11-27,24,28037
1899-11-28,26,29137
1899-11-29,44,25547
1899-11-30,53,27260
1899-12-01,34,28925
1899-12-02,26,25113
1899-12-03,41,23573
1899-12-04,14,26237
1899-12-05,29,28993
1899-12-06,33,25995
1899-12-07,49,27241
1899-12-08,36,29189
1899-12-09,42,26163
1899-12-10,52,26045
1899-12-11,43,26303
1899-12-12,47,28498
1899-12-13,33,26990
1899-12-14,42,27614
1899-12-15,33,27995
1899-12-16,38,25827
1899-12-17,29,26632
1899-12-18,37,26534
1899-12-19,29,27593
1899-12-20,41,26370
1899-12-21,46,25798
1899-12-22,43,27576
1899-12-23,35,24206
1899-12-24,60,26921
1899-12-25,31,28229
1899-12-26,31,30952
1899-12-27,20,27492
1899-12-28,41,27405
1899-12-29,47,27910
1899-12-30,58,26089
1899-12-31,77,28722
