Date,Number of dates,length
1886-01-01,48,18368
1886-01-02,48,19874
1886-01-03,52,19578
1886-01-04,55,20491
1886-01-05,27,20256
1886-01-06,64,38354
1886-01-07,29,19085
1886-01-08,50,18319
1886-01-09,52,17469
1886-01-10,53,17049
1886-01-11,72,19124
1886-01-12,43,20448
1886-01-13,27,37188
1886-01-14,48,19351
1886-01-15,35,19172
1886-01-16,55,20439
1886-01-17,44,20950
1886-01-18,47,20385
1886-01-19,53,20764
1886-01-20,45,37470
1886-01-21,34,19024
1886-01-22,62,19868
1886-01-23,33,19653
1886-01-24,48,18159
1886-01-25,38,20984
1886-01-26,50,19631
1886-01-27,55,39752
1886-01-28,51,20480
1886-01-29,34,19505
1886-01-30,34,19408
1886-01-31,71,16762
1886-02-01,24,16969
1886-02-02,31,20586
1886-02-03,37,39955
1886-02-04,39,19437
1886-02-05,15,19999
1886-02-06,53,20207
1886-02-07,50,17509
1886-02-08,38,20789
1886-02-09,30,19726
1886-02-10,65,35412
1886-02-11,33,18910
1886-02-12,36,18561
1886-02-13,33,19263
1886-02-14,44,17270
1886-02-15,48,20744
1886-02-16,39,19578
1886-02-17,43,37768
1886-02-18,47,19820
1886-02-19,36,19569
1886-02-20,38,21183
1886-02-21,43,17151
1886-02-22,53,19495
1886-02-23,36,18049
1886-02-24,55,38081
1886-02-25,32,18613
1886-02-26,34,19333
1886-02-27,52,20301
1886-02-28,37,15994
1886-03-01,55,18254
1886-03-02,49,19081
1886-03-03,39,38146
1886-03-04,31,18482
1886-03-05,39,20903
1886-03-06,66,20788
1886-03-07,64,18306
1886-03-08,46,20797
1886-03-09,58,20415
1886-03-10,56,38274
1886-03-11,45,19184
1886-03-12,42,19568
1886-03-13,54,19983
1886-03-14,23,17417
1886-03-15,41,19337
1886-03-16,46,19227
1886-03-17,24,37764
1886-03-18,49,19141
1886-03-19,48,19023
1886-03-20,46,18482
1886-03-21,39,19352
1886-03-22,28,18165
1886-04-22,37,18837
1886-06-18,51,18331
1886-12-04,51,19001
