Date,Number of dates,length
1896-01-01,39,26481
1896-01-02,32,26943
1896-01-03,45,28877
1896-01-04,45,22461
1896-01-05,40,26593
1896-01-06,28,24428
1896-01-07,55,26872
1896-01-08,69,26299
1896-01-09,43,25524
1896-01-10,15,27596
1896-01-11,50,22995
1896-01-12,40,27188
1896-01-13,32,26056
1896-01-14,36,28542
1896-01-15,55,23908
1896-01-16,55,25106
1896-01-17,41,28434
1896-01-18,51,24996
1896-01-19,37,26509
1896-01-20,29,26902
1896-01-21,27,27032
1896-01-22,40,23015
1896-01-23,35,27165
1896-01-24,60,28067
1896-01-25,45,21059
1896-01-26,67,25565
1896-01-27,27,24070
1896-01-28,58,27634
1896-01-29,22,25423
1896-01-30,62,24785
1896-01-31,50,28117
1896-02-01,37,20589
1896-02-02,81,23400
1896-02-03,45,24389
1896-02-04,40,26663
1896-02-05,34,22734
1896-02-06,41,25272
1896-02-07,34,26450
1896-02-08,57,23806
1896-02-09,55,21802
1896-02-10,31,24027
1896-02-11,39,26484
1896-02-12,24,24116
1896-02-13,39,27071
1896-02-14,27,27240
1896-02-15,32,21976
1896-02-16,92,27476
1896-02-17,35,25507
1896-02-18,47,27509
1896-02-19,56,24463
1896-02-20,63,25141
1896-02-21,63,26380
1896-02-22,60,21598
1896-02-23,63,24947
1896-02-24,39,25395
1896-02-25,64,27620
1896-02-27,56,27347
1896-02-28,22,24527
1896-02-29,44,22200
1896-03-01,92,21834
1896-03-02,43,25556
1896-03-03,37,27619
1896-03-04,28,22252
1896-03-05,31,25576
1896-03-06,39,27234
1896-03-07,38,22646
1896-03-08,64,25414
1896-03-09,38,24694
1896-03-10,46,24490
1896-03-11,35,23868
1896-03-12,46,26835
1896-03-13,34,26968
1896-03-14,26,22672
1896-03-15,22,26595
1896-03-16,59,26039
1896-03-17,33,27927
1896-03-18,51,21896
1896-03-19,28,26392
1896-03-20,57,27991
1896-03-21,33,21143
1896-03-22,35,26031
1896-03-23,45,25114
1896-03-24,43,25609
1896-03-25,42,25102
1896-03-26,52,27503
1896-03-27,48,28537
1896-03-28,40,20072
1896-03-29,44,23455
1896-03-30,31,25586
1896-03-31,52,28449
1896-04-01,44,24409
1896-04-02,41,27310
1896-04-03,61,28627
1896-04-04,50,23183
1896-04-05,61,27313
1896-04-06,37,26732
1896-04-07,41,29993
1896-04-08,57,23692
1896-04-09,68,27808
1896-04-10,44,29888
1896-04-11,29,25926
1896-04-12,46,26581
1896-04-13,13,24897
1896-04-14,36,28362
1896-04-15,34,24464
1896-04-16,41,27537
1896-04-17,34,28507
1896-04-18,38,24938
1896-04-19,29,26400
1896-04-20,24,26515
1896-04-21,34,28779
1896-04-22,49,23300
1896-04-23,43,29494
1896-04-24,28,27238
1896-04-25,31,21315
1896-04-26,35,27477
1896-04-27,44,27863
1896-04-28,23,29813
1896-04-29,49,26375
1896-04-30,64,26880
1896-05-01,32,28331
1896-05-02,61,25112
1896-05-03,34,24146
1896-05-04,54,23120
1896-05-05,32,27770
1896-05-06,40,24515
1896-05-07,41,28055
1896-05-08,46,29100
1896-05-09,31,25980
1896-05-10,48,28478
1896-05-11,44,26533
1896-05-12,40,28249
1896-05-13,27,26609
1896-05-14,52,27366
1896-05-15,43,29576
1896-05-16,42,25618
1896-05-17,32,29208
1896-05-18,43,26430
1896-05-19,38,27380
1896-05-20,52,25619
1896-05-21,33,25986
1896-05-22,21,29409
1896-05-23,33,26919
1896-05-24,33,28904
1896-05-25,55,27637
1896-05-26,23,30105
1896-05-27,67,27853
1896-05-28,54,27994
1896-05-29,43,29320
1896-05-30,37,24013
1896-05-31,50,26426
1896-06-01,34,25121
1896-06-02,51,28843
1896-06-03,35,25454
1896-06-04,47,26156
1896-06-05,31,29096
1896-06-06,46,26232
1896-06-07,28,27413
1896-06-08,39,25541
1896-06-09,53,30948
1896-06-10,40,24558
1896-06-11,27,27608
1896-06-12,23,28407
1896-06-13,40,24041
1896-06-14,28,28066
1896-06-15,34,26416
1896-06-16,37,29658
1896-06-17,42,26858
1896-06-18,29,28924
1896-06-19,35,29454
1896-06-20,27,26301
1896-06-21,20,28215
1896-06-22,40,27409
1896-06-23,23,30256
1896-06-24,30,26491
1896-06-25,30,27395
1896-06-26,33,28914
1896-06-27,28,27943
1896-06-28,34,26452
1896-06-29,47,27274
1896-06-30,43,29282
1896-07-01,45,27304
1896-07-02,37,27881
1896-07-03,48,28420
1896-07-04,44,26047
1896-07-05,59,28147
1896-07-06,31,26586
1896-07-07,36,29078
1896-07-08,35,27866
1896-07-09,31,27375
1896-07-10,33,28488
1896-07-11,30,26597
1896-07-12,26,28279
1896-07-13,37,25890
1896-07-14,33,29377
1896-07-15,36,28707
1896-07-16,40,30051
1896-07-17,47,27194
1896-07-18,44,21144
1896-07-19,53,28670
1896-07-20,51,26330
1896-07-21,36,26601
1896-07-22,26,27919
1896-07-23,42,29961
1896-07-24,94,26800
1896-07-25,25,24434
1896-07-26,79,29697
1896-07-27,31,26255
1896-07-28,36,29505
1896-07-29,33,28322
1896-07-30,21,26906
1896-07-31,67,27304
1896-08-01,50,22493
1896-08-02,39,27622
1896-08-03,41,26021
1896-08-04,46,27946
1896-08-05,32,26827
1896-08-06,43,27533
1896-08-07,44,29735
1896-08-08,53,23797
1896-08-09,45,30052
1896-08-10,42,27080
1896-08-11,71,29371
1896-08-12,53,27806
1896-08-13,31,28386
1896-08-14,84,29873
1896-08-15,60,24493
1896-08-16,56,31234
1896-08-17,40,27563
1896-08-18,49,27670
1896-08-19,46,29551
1896-08-20,46,27789
1896-08-21,48,28869
1896-08-22,47,23874
1896-08-23,52,30065
1896-08-24,54,27192
1896-08-25,36,28539
1896-08-26,45,28857
1896-08-27,33,27948
1896-08-28,37,29760
1896-08-29,35,24157
1896-08-30,65,26324
1896-08-31,65,28127
1896-09-01,22,29936
1896-09-02,39,28364
1896-09-03,37,28449
1896-09-04,43,29136
1896-09-05,39,24153
1896-09-06,23,28625
1896-09-07,17,25651
1896-09-08,31,28929
1896-09-09,35,27728
1896-09-10,44,28160
1896-09-11,83,29612
1896-09-12,71,22904
1896-09-13,46,28518
1896-09-14,27,27456
1896-09-15,46,30496
1896-09-16,40,28286
1896-09-17,28,28166
1896-09-18,41,30143
1896-09-19,47,23344
1896-09-20,32,23159
1896-09-21,29,25824
1896-09-22,47,30288
1896-09-23,46,27183
1896-09-24,71,27943
1896-09-25,38,28145
1896-09-26,38,23687
1896-09-27,64,22355
1896-09-28,48,27088
1896-09-29,57,28009
1896-09-30,50,26213
1896-10-01,59,25645
1896-10-02,23,23098
1896-10-03,78,26608
1896-10-04,56,25979
1896-10-05,45,24399
1896-10-06,38,25566
1896-10-07,33,27635
1896-10-08,50,26332
1896-10-09,26,26994
1896-10-10,28,25389
1896-10-11,48,26196
1896-10-12,34,27107
1896-10-13,36,27387
1896-10-14,44,23832
1896-10-15,32,25756
1896-10-16,61,29052
1896-10-17,36,23095
1896-10-18,52,27169
1896-10-19,32,26534
1896-10-20,59,27748
1896-10-21,31,24320
1896-10-22,31,26150
1896-10-23,43,29839
1896-10-24,51,25219
1896-10-25,40,26775
1896-10-26,42,25727
1896-10-27,35,28713
1896-10-28,30,24197
1896-10-29,35,28523
1896-10-30,30,29156
1896-10-31,40,26473
1896-11-01,45,28076
1896-11-02,38,27363
1896-11-03,42,27786
1896-11-04,45,24503
1896-11-05,39,27710
1896-11-06,41,28232
1896-11-07,21,22972
1896-11-08,62,25959
1896-11-09,46,26681
1896-11-10,47,29012
1896-11-11,64,24280
1896-11-12,44,27464
1896-11-13,56,28295
1896-11-14,63,25150
1896-11-15,31,27455
1896-11-16,24,24902
1896-11-17,50,27832
1896-11-18,48,25640
1896-11-19,31,27526
1896-11-20,17,29136
1896-11-21,46,25811
1896-11-22,51,28709
