Date,Number of dates,length
1881-01-01,20,20168
1881-01-02,34,19525
1881-01-03,34,18804
1881-01-04,53,19663
1881-01-05,30,39236
1881-01-06,44,19089
1881-01-07,43,19138
1881-01-08,47,19916
1881-01-09,59,16485
1881-01-10,40,15137
1881-01-11,34,19688
1881-01-12,37,36590
1881-01-13,31,19421
1881-01-14,31,18078
1881-01-15,28,18880
1881-01-16,33,17590
1881-01-17,25,17127
1881-01-18,56,19984
1881-01-19,13,12872
1881-01-20,18,19637
1881-01-21,44,18309
1881-01-22,37,19359
1881-01-23,28,18192
1881-01-24,36,19281
1881-01-25,41,19841
1881-01-26,44,37200
1881-01-27,29,18128
1881-01-28,38,18541
1881-01-29,26,18226
1881-01-30,39,15983
1881-01-31,20,18138
1881-02-01,36,20003
1881-02-02,49,39260
1881-02-03,21,19673
1881-02-04,37,19240
1881-02-05,34,16338
1881-02-06,55,18145
1881-02-07,24,18809
1881-02-08,45,20547
1881-02-09,33,39343
1881-02-10,52,19779
1881-02-11,41,19053
1881-02-12,28,19046
1881-02-13,51,18067
1881-02-14,26,19357
1881-02-15,35,19883
1881-02-16,27,38114
1881-02-17,30,19047
1881-02-18,62,19251
1881-02-19,46,19090
1881-02-20,28,17592
1881-02-21,31,19114
1881-02-22,38,21313
1881-02-23,52,37971
1881-02-24,42,19454
1881-02-25,40,20687
1881-02-26,51,19247
1881-02-27,57,20647
1881-02-28,22,19316
1881-03-01,54,19529
1881-03-02,54,39450
1881-03-03,25,19460
1881-03-04,55,18125
1881-03-05,29,18296
1881-03-06,14,14695
1881-03-07,27,19470
1881-03-08,31,18060
1881-03-09,28,36207
1881-03-10,39,19499
1881-03-11,25,19588
1881-03-12,50,17172
1881-03-13,35,19413
1881-03-14,24,17910
1881-03-15,33,20289
1881-03-16,49,38104
1881-03-17,37,20318
1881-03-18,39,20474
1881-03-19,30,18511
1881-03-20,23,18342
1881-03-21,15,19952
1881-03-22,40,19401
1881-03-23,51,42181
1881-03-24,42,19010
1881-03-25,37,18739
1881-03-26,66,18558
1881-03-27,71,21341
1881-03-28,40,19739
1881-03-29,16,19200
1881-03-30,60,35489
1881-03-31,33,20071
1881-04-01,35,18637
1881-04-02,28,18448
1881-04-03,48,18517
1881-04-04,27,17238
1881-04-05,28,19708
1881-04-06,42,34894
1881-04-07,40,19563
1881-04-08,44,20442
1881-04-09,54,18323
1881-04-10,27,20017
1881-04-11,55,19774
1881-04-12,26,20357
1881-04-13,44,38731
1881-04-14,62,19084
1881-04-15,26,19730
1881-04-16,31,19449
1881-04-17,64,20134
1881-04-18,29,20321
1881-04-19,36,18516
1881-04-20,38,39467
1881-04-21,29,18915
1881-04-22,40,19022
1881-04-23,36,20219
1881-04-24,20,17590
1881-04-25,40,18830
1881-04-26,30,19459
1881-04-27,29,38805
1881-04-28,51,20293
1881-04-29,47,19867
1881-04-30,54,19969
1881-05-01,39,19264
1881-05-02,46,17745
1881-05-03,61,20201
1881-05-04,19,43031
1881-05-05,32,19156
1881-05-06,41,19742
1881-05-07,77,19415
1881-05-08,36,20113
1881-05-09,33,19250
1881-05-10,50,20421
1881-05-11,35,39516
1881-05-12,25,19453
1881-05-13,31,19382
