Date,Number of dates,length
1918-01-01,31,17658
1918-01-02,53,17311
1918-01-03,99,9895
1918-01-04,60,16974
1918-01-05,34,18628
1918-01-06,103,16789
1918-01-07,61,9843
1918-01-08,53,17486
1918-01-09,48,15995
1918-01-10,107,9298
1918-01-11,48,17489
1918-01-12,42,17552
1918-01-13,40,17744
1918-01-14,69,9643
1918-01-15,62,17674
1918-01-16,31,15946
1918-01-17,110,9114
1918-01-18,54,17170
1918-01-19,57,16668
1918-01-20,82,17135
1918-01-21,54,9144
1918-01-22,40,17025
1918-01-23,33,16616
1918-01-24,87,10063
1918-01-25,34,17915
1918-01-26,36,16310
1918-01-27,84,17964
1918-01-28,53,10034
1918-01-29,46,17866
1918-01-30,64,16696
1918-01-31,111,9174
1918-02-01,46,17545
1918-02-02,59,17240
1918-02-03,46,17949
1918-02-04,70,9287
1918-02-05,60,17226
1918-02-06,46,15885
1918-02-07,81,9442
1918-02-08,57,17000
1918-02-09,43,18018
1918-02-10,58,16889
1918-02-11,73,9588
1918-02-12,39,17926
1918-02-13,37,15816
1918-02-14,102,9440
1918-02-15,38,16968
1918-02-16,54,16612
1918-02-17,123,17692
1918-02-18,77,10023
1918-02-19,28,17646
1918-02-20,54,16420
1918-02-21,38,9236
1918-02-22,52,17717
1918-02-23,62,17324
1918-02-24,67,17397
1918-02-25,60,9600
1918-02-26,39,17902
1918-02-27,31,15704
1918-02-28,92,9169
1918-03-01,26,17888
1918-03-02,40,15878
1918-03-03,80,16541
1918-03-04,59,9268
1918-03-05,46,17459
1918-03-06,39,17210
1918-03-07,87,8959
1918-03-08,52,17319
1918-03-09,46,17469
1918-03-10,69,18409
1918-03-11,33,9253
1918-03-12,46,18254
1918-03-13,53,15368
1918-03-14,44,9108
1918-03-15,44,17586
1918-03-16,41,16982
1918-03-17,56,17167
1918-03-18,81,9502
1918-03-19,51,17131
1918-03-20,51,16248
1918-03-21,59,9505
1918-03-22,27,16793
1918-03-23,48,17031
1918-03-24,46,17657
1918-03-25,54,9434
1918-03-26,35,17048
1918-03-27,52,16081
1918-03-28,73,9164
1918-03-29,57,17108
1918-03-30,69,17253
1918-03-31,52,18616
1918-04-01,68,9404
1918-04-02,48,18326
1918-04-03,43,16296
1918-04-04,65,9770
1918-04-05,31,17793
1918-04-06,19,17960
1918-04-07,26,18474
1918-04-08,38,9310
1918-04-09,34,18087
1918-04-10,38,18100
1918-04-11,42,8496
1918-04-12,59,17594
1918-04-13,50,17734
1918-04-14,50,18524
1918-04-15,41,9430
1918-04-16,34,17894
1918-04-17,44,16723
1918-04-18,66,8664
1918-04-19,37,17243
1918-04-20,53,17746
1918-04-21,44,18747
1918-04-22,59,9110
1918-04-23,57,17437
1918-04-24,32,17646
1918-04-25,66,8943
1918-04-26,71,17613
1918-04-27,47,16660
1918-04-28,66,18289
1918-04-29,63,9742
1918-04-30,30,17911
1918-05-01,51,15521
1918-05-02,66,9863
1918-05-03,44,17622
1918-05-04,48,18466
1918-05-05,58,17660
1918-05-06,45,9623
1918-05-07,68,17916
1918-05-08,46,18088
1918-05-09,43,8962
1918-05-10,54,18298
1918-05-11,49,17695
1918-05-12,38,19102
1918-05-13,44,9578
1918-05-14,54,17673
1918-05-15,58,17633
1918-05-16,68,9726
1918-05-17,53,18060
1918-05-18,65,18110
1918-05-19,59,19052
1918-05-20,81,9440
1918-05-21,35,17960
1918-05-22,62,17778
1918-05-23,48,9537
1918-05-24,55,17535
1918-05-25,98,17684
1918-05-26,75,18169
1918-05-27,39,9508
1918-05-28,46,17518
1918-05-29,57,17190
1918-05-30,36,9060
1918-05-31,34,16592
1918-06-01,23,17664
1918-06-02,41,17953
1918-06-03,39,9396
1918-06-04,27,17820
1918-06-05,51,17515
1918-06-06,74,9299
1918-06-07,23,17050
1918-06-08,29,17996
1918-06-09,30,18202
1918-06-10,41,9546
1918-06-11,26,17901
1918-06-12,29,17802
1918-06-13,67,8767
1918-06-14,50,18261
1918-06-15,60,18028
1918-06-16,30,18412
1918-06-17,60,9622
1918-06-18,48,17414
1918-06-19,49,17873
1918-06-20,51,9111
1918-06-21,41,18000
1918-06-22,60,17703
1918-06-23,49,18997
1918-06-24,47,9081
1918-06-25,40,17201
1918-06-26,22,18660
1918-06-27,66,9681
1918-06-28,45,18310
1918-06-29,39,18130
1918-06-30,52,18315
1918-07-01,55,9198
1918-07-02,28,18992
1918-07-03,50,18091
1918-07-04,77,8575
1918-07-05,48,18749
1918-07-06,49,17017
1918-07-07,60,17236
1918-07-08,66,9503
1918-07-09,47,18486
1918-07-10,56,17658
1918-07-11,56,9629
1918-07-12,42,18839
1918-07-13,75,19064
1918-07-14,55,18072
1918-07-15,58,10205
1918-07-16,41,17402
1918-07-17,49,18018
1918-07-18,51,9351
1918-07-19,45,17090
1918-07-20,52,18188
1918-07-21,59,17837
1918-07-22,37,9387
1918-07-23,48,18025
1918-07-24,52,18271
1918-07-25,46,9127
1918-07-26,32,18021
1918-07-27,40,18203
1918-07-28,65,18348
1918-07-29,61,9235
1918-07-30,23,17808
1918-07-31,32,18607
1918-08-01,32,19771
1918-08-02,46,9041
1918-08-03,45,17452
1918-08-04,32,19190
1918-08-05,68,9329
1918-08-06,74,18123
1918-08-07,67,9214
1918-08-08,47,18416
1918-08-09,59,8982
1918-08-10,31,17624
1918-08-11,31,19059
1918-08-12,37,9254
1918-08-13,52,18514
1918-08-14,69,8974
1918-08-15,75,18632
1918-08-16,56,10032
1918-08-17,41,17436
1918-08-18,68,19881
1918-08-19,36,9292
1918-08-20,42,18157
1918-08-21,54,8977
1918-08-22,38,17815
1918-08-23,43,8359
1918-08-24,48,18640
1918-08-25,58,18484
1918-08-26,46,8710
1918-08-27,37,17743
1918-08-28,53,8973
1918-08-29,35,16760
1918-08-30,51,8771
1918-08-31,66,18003
1918-09-01,81,18570
1918-09-02,70,9260
1918-09-03,34,18057
1918-09-04,47,8505
1918-09-05,33,17039
1918-09-06,51,8784
1918-09-07,33,16249
1918-09-08,23,17561
1918-09-09,36,9160
1918-09-10,48,18457
1918-09-11,41,9462
1918-09-12,75,17868
1918-09-13,42,9405
1918-09-14,33,16691
1918-09-15,49,16294
1918-09-16,60,8856
1918-09-17,47,16895
1918-09-18,81,9389
1918-09-19,46,17036
1918-09-20,54,9242
1918-09-21,38,17244
1918-09-22,110,18900
1918-09-23,41,9361
1918-09-24,58,17537
1918-09-25,51,9329
1918-09-26,68,17256
1918-09-27,57,8707
1918-09-28,44,15622
1918-09-29,104,14453
1918-09-30,57,8538
1918-10-01,32,18031
1918-10-02,41,9008
1918-10-03,62,17043
1918-10-04,41,8602
1918-10-05,39,15532
1918-10-06,43,14668
1918-10-07,52,9761
1918-10-08,52,17393
1918-10-09,37,9062
1918-10-10,39,16863
1918-10-11,43,9123
1918-10-12,66,17028
1918-10-13,38,17867
1918-10-14,52,9256
1918-10-15,57,17363
1918-10-16,48,8820
1918-10-17,42,14717
1918-10-18,54,8358
1918-10-19,35,16098
1918-10-20,93,15864
1918-10-21,46,9354
1918-10-22,66,17196
1918-10-23,40,9832
1918-10-24,68,16754
1918-10-25,28,8625
1918-10-26,46,16449
1918-10-27,69,19247
1918-10-28,41,9293
1918-10-29,38,15884
1918-10-30,64,9702
1918-10-31,35,16997
1918-11-01,91,8532
1918-11-02,19,16708
1918-11-03,80,16618
1918-11-04,58,9165
1918-11-05,41,15110
1918-11-06,33,10247
1918-11-07,33,14697
1918-11-08,68,8375
1918-11-09,39,16186
1918-11-10,51,16979
1918-11-11,50,9197
1918-11-12,63,17206
1918-11-13,63,9022
1918-11-14,61,15434
1918-11-15,68,9809
1918-11-16,54,16852
1918-11-17,65,18676
1918-11-18,59,9670
1918-11-19,54,15407
1918-11-20,39,9490
1918-11-21,58,16208
1918-11-22,52,9306
1918-11-23,54,16077
1918-11-24,94,16414
1918-11-25,39,9884
1918-11-26,53,17957
1918-11-27,56,9465
1918-11-28,72,16248
1918-11-29,77,9777
1918-11-30,70,16190
1918-12-01,84,17317
1918-12-02,48,10318
1918-12-03,56,17416
1918-12-04,57,9643
1918-12-05,45,17182
1918-12-06,34,9813
1918-12-07,26,17524
1918-12-08,67,18145
1918-12-09,31,10031
1918-12-10,62,17565
1918-12-11,54,9644
1918-12-12,68,16708
1918-12-13,74,9516
1918-12-14,49,17355
1918-12-15,67,18206
1918-12-16,42,9842
1918-12-17,48,17874
1918-12-18,55,9683
1918-12-19,83,17107
1918-12-20,25,10299
1918-12-21,61,17596
1918-12-22,73,18295
1918-12-23,26,10365
1918-12-24,46,17632
1918-12-25,72,9994
1918-12-26,51,18827
1918-12-27,53,9342
1918-12-28,33,19292
1918-12-29,62,19146
1918-12-30,40,10483
1918-12-31,51,18674
