Date,Number of dates,length
1882-01-01,35,19763
1882-01-02,32,14803
1882-01-03,53,19198
1882-01-04,78,36428
1882-01-05,34,20019
1882-01-06,60,19063
1882-01-07,26,19479
1882-01-08,29,18268
1882-01-09,48,18871
1882-01-10,16,19213
1882-01-11,36,38559
1882-01-12,42,19680
1882-01-13,29,20003
1882-01-14,71,18901
1882-01-15,49,20550
1882-01-16,50,18958
1882-01-17,41,21309
1882-01-18,62,40072
1882-01-19,42,19691
1882-01-20,40,19400
1882-01-21,45,20034
1882-01-22,72,19492
1882-01-23,24,20553
1882-01-24,41,20563
1882-01-25,50,40628
1882-01-26,20,20024
1882-01-27,41,19142
1882-01-28,26,18857
1882-01-29,33,15268
1882-01-30,37,18540
1882-01-31,26,19127
1882-02-01,49,38749
1882-02-02,57,18714
1882-02-03,26,19089
1882-02-04,45,19906
1882-02-05,33,17032
1882-02-06,19,18970
1882-02-07,43,19298
1882-02-08,36,38413
1882-02-09,38,19484
1882-02-10,58,18623
1882-02-11,40,19317
1882-02-12,15,17126
1882-02-13,24,18945
1882-02-14,38,19523
1882-02-15,46,38509
1882-02-16,44,19399
1882-02-17,42,19099
1882-02-18,63,19922
1882-02-19,35,19669
1882-02-20,42,18891
1882-02-21,47,20296
1882-02-22,41,36909
1882-02-23,30,18870
1882-02-24,26,19577
1882-02-25,38,17987
1882-02-26,44,17200
1882-02-27,14,18036
1882-02-28,40,19843
1882-03-01,50,37522
1882-03-02,62,19470
1882-03-03,59,19621
1882-03-04,23,15773
1882-03-05,24,17104
1882-03-06,54,18523
1882-03-07,54,19889
1882-03-08,53,39101
1882-03-09,42,20201
1882-03-10,64,20259
1882-03-11,64,18404
1882-03-12,49,16876
1882-03-13,19,19463
1882-03-14,28,19511
1882-03-15,52,37498
1882-03-16,50,20746
1882-03-17,51,18995
1882-03-18,28,20529
1882-03-19,59,17356
1882-03-20,46,19759
1882-03-21,26,20034
1882-03-22,36,37354
1882-03-23,52,20479
1882-03-24,33,18418
1882-03-25,47,19882
1882-03-26,43,17953
1882-03-27,44,19076
1882-03-28,45,20931
1882-03-29,38,35347
1882-03-30,45,18674
1882-03-31,28,18982
1882-04-01,25,17725
1882-04-02,35,16861
1882-04-03,59,21334
1882-04-04,37,19776
1882-04-05,28,37395
1882-04-06,50,20491
1882-04-07,46,19704
1882-04-08,36,19568
1882-04-09,47,17862
1882-04-10,47,19080
1882-04-11,35,19664
1882-04-12,35,14235
1882-04-13,48,19724
1882-04-14,49,19774
1882-04-15,34,20722
1882-04-16,35,19896
1882-04-17,40,18738
1882-04-18,28,19373
1882-04-19,54,37361
1882-04-20,52,20164
1882-04-21,23,18076
1882-04-22,35,19578
1882-04-23,58,19939
1882-04-24,31,18072
1882-04-25,35,20184
1882-04-26,46,37740
1882-04-27,51,18722
1882-04-28,41,20152
1882-04-29,49,19421
1882-04-30,40,18962
1882-05-01,36,18349
1882-05-02,15,15968
1882-05-03,46,40755
1882-05-04,28,19318
1882-05-05,48,19582
1882-05-06,46,19319
1882-05-07,29,18371
1882-05-08,31,19178
1882-05-09,37,18722
1882-05-10,45,39654
1882-05-11,24,19144
1882-05-12,45,19207
1882-05-13,42,21148
1882-05-14,38,18977
1882-05-15,34,19890
1882-05-16,47,19809
1882-05-17,33,40067
1882-05-18,40,20282
1882-05-19,49,19430
1882-05-20,83,19960
1882-05-21,47,19007
1882-05-22,60,18636
1882-05-23,27,18576
1882-05-24,20,36661
1882-05-25,26,18700
1882-05-26,49,20937
1882-05-27,40,16237
1882-05-28,31,14291
1882-05-29,54,19040
1882-05-30,33,18964
1882-05-31,50,37380
1882-06-01,23,17497
1882-06-02,55,19632
1882-06-03,30,18828
1882-06-04,32,16953
1882-06-05,26,17271
1882-06-06,49,20263
1882-06-07,40,39261
1882-06-08,32,18811
1882-06-09,51,18314
1882-06-10,60,21035
1882-06-11,31,16160
1882-06-12,32,19590
1882-06-13,67,20376
1882-06-14,48,38224
1882-06-15,28,20265
1882-06-16,56,19923
1882-06-17,39,20097
1882-06-18,17,20122
1882-06-19,41,20274
1882-06-20,51,17504
1882-06-21,27,35840
1882-06-22,50,19682
1882-06-23,31,20498
1882-06-24,43,20605
1882-06-25,69,20242
1882-06-26,39,18935
1882-06-27,43,19510
1882-06-28,35,40190
1882-06-29,52,19837
1882-06-30,27,19642
1882-07-01,27,18747
1882-07-02,35,19642
1882-07-03,42,18521
1882-07-04,30,19834
1882-07-05,43,38801
1882-07-06,29,20323
1882-07-07,38,19916
1882-07-08,50,19979
1882-07-09,36,19805
1882-07-10,24,20241
1882-07-11,48,18814
1882-07-12,39,33947
1882-07-13,59,18605
1882-07-14,30,19724
1882-07-15,51,21764
1882-07-16,42,19939
1882-07-17,17,18979
1882-07-18,45,19769
1882-07-19,59,39524
1882-07-20,33,19485
1882-07-21,61,20007
1882-07-22,47,20466
1882-07-23,46,19247
1882-07-24,27,19900
1882-07-25,41,19786
1882-07-26,19,38357
1882-07-27,37,20405
1882-07-28,26,18787
1882-07-29,45,20801
1882-07-30,42,20401
1882-07-31,25,20105
1882-08-01,33,18723
1882-08-02,45,36639
1882-08-03,20,19015
1882-08-04,48,20800
1882-08-05,56,21326
1882-08-06,36,19747
1882-08-07,36,19570
1882-08-08,34,20187
1882-08-09,52,35858
1882-08-10,33,19700
1882-08-11,30,19326
1882-08-12,51,21782
1882-08-13,28,18945
1882-08-14,42,20049
1882-08-15,47,19237
1882-08-16,31,39042
1882-08-17,35,18899
1882-08-18,42,20456
1882-08-19,31,19168
1882-08-20,50,20403
1882-08-21,39,20356
1882-08-22,41,19742
1882-08-23,44,37364
1882-08-24,25,19908
1882-08-25,33,21497
1882-08-26,28,19976
1882-08-27,44,19039
1882-08-28,57,20158
1882-08-29,25,18302
1882-08-30,51,38301
1882-08-31,53,19846
1882-09-01,69,19410
1882-09-02,26,19152
1882-09-03,31,19562
1882-09-04,23,20095
1882-09-05,41,19989
1882-09-06,19,37421
1882-09-07,43,19366
1882-09-08,23,19294
1882-09-09,33,20784
1882-09-10,36,18967
1882-09-11,28,19931
1882-09-12,47,20033
1882-09-13,23,37390
1882-09-14,30,19623
1882-09-15,55,20665
1882-09-16,62,20407
1882-09-17,53,18801
1882-09-18,59,18484
1882-09-19,27,19375
1882-09-20,33,22101
1882-09-21,44,18865
1882-09-22,28,19631
1882-09-23,14,19050
1882-09-24,50,17653
1882-09-25,42,20915
1882-09-26,37,18926
1882-09-27,24,37044
1882-09-28,39,20171
1882-09-29,62,19025
1882-09-30,28,18487
1882-10-01,36,14551
1882-10-02,49,17428
1882-10-03,24,18815
1882-10-04,56,40785
1882-10-05,17,19549
1882-10-06,19,19201
1882-10-07,37,19094
1882-10-08,59,16406
1882-10-09,41,17854
1882-10-10,31,20067
1882-10-11,32,38014
1882-10-12,28,19621
1882-10-13,46,17782
1882-10-14,37,19788
1882-10-15,25,19525
1882-10-16,31,18641
1882-10-17,40,19865
1882-10-18,41,39882
1882-10-19,30,20087
1882-10-20,42,20329
1882-10-21,66,19009
1882-10-22,39,19863
1882-10-23,37,19577
1882-10-24,60,19577
1882-10-25,33,39275
1882-10-26,24,20127
1882-10-27,27,18490
1882-10-28,45,20103
1882-10-29,54,19771
1882-10-30,50,21344
1882-10-31,64,20150
1882-11-01,35,39188
1882-11-02,36,20428
1882-11-03,52,19172
1882-11-04,50,18164
1882-11-05,37,16352
1882-11-06,22,20031
1882-11-07,39,19336
1882-11-08,27,38870
1882-11-09,36,20374
1882-11-10,46,19926
1882-11-11,33,19567
1882-11-12,42,18084
1882-11-13,31,20441
1882-11-14,34,19849
1882-11-15,42,39731
1882-11-16,36,19312
1882-11-17,42,19976
1882-11-18,51,20377
1882-11-19,28,17918
1882-11-20,49,19658
1882-11-21,37,18898
1882-11-22,31,39177
1882-11-23,33,19326
1882-11-24,65,20851
1882-11-25,24,19033
1882-11-26,45,19938
1882-11-27,53,19805
1882-11-28,62,18860
1882-11-29,28,40219
1882-11-30,40,19989
1882-12-01,28,19511
1882-12-02,39,19197
1882-12-03,73,17921
1882-12-04,52,18166
1882-12-05,42,18846
1882-12-06,38,39587
1882-12-07,26,20468
1882-12-08,52,19673
1882-12-09,57,21010
1882-12-10,46,17074
1882-12-11,49,19026
1882-12-12,47,18139
1882-12-13,31,36707
1882-12-14,24,17795
1882-12-15,45,18971
1882-12-16,42,18878
1882-12-17,46,16083
1882-12-18,38,18633
1882-12-19,17,18556
1882-12-20,56,36689
1882-12-21,55,17685
1882-12-22,50,17875
1882-12-23,35,19222
1882-12-24,29,17893
1882-12-25,31,18971
1882-12-26,22,18498
1882-12-27,31,36532
1882-12-28,25,18471
1882-12-29,31,17364
1882-12-30,76,19190
1882-12-31,39,18838
